ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,win_prob,rally
1,00:07:05,12771.0,0,0,Ratchanok INTANON,1,發長球,0,0,2.0,8,,,1.0,9,552.0,307.0,,,Ratchanok INTANON,,9,0.2796970807190704,0.770188093867955,9,-0.5631423255552885,-1.235091456939865,0,1,57,2898,0.0,0,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625968873500824,1
2,00:07:07,12835.0,0,0,An Se Young,2,殺球,0,0,1.0,10,552.0,307.0,2.0,6,487.0,530.0,,,Ratchanok INTANON,,10,-0.4728802826775115,-1.5909573191755104,9,0.113938315018384,0.8612547892022538,0,1,57,2898,0.1538461538461538,1,True,0,0.0,0,0.346316933631897,0.6536831259727478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2892857193946838,1
3,00:07:08,12852.0,0,0,Ratchanok INTANON,2,平球,0,1,2.0,7,487.0,530.0,2.0,8,761.0,381.0,,,Ratchanok INTANON,,9,0.0472273564804589,1.0842597774707468,9,-0.3401904256306609,-1.11215471268847,0,1,57,2898,0.2307692307692307,0,True,0,0.0,0,0.1638769209384918,0.3451196551322937,0.4910033643245697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3520225286483764,1
4,00:07:09,12884.0,0,0,An Se Young,2,網前球,0,1,2.0,9,761.0,381.0,2.0,7,606.0,483.0,,,Ratchanok INTANON,,8,0.5381534442396612,-0.5088221147787463,9,0.2435947232689373,0.9591117070739492,0,1,57,2898,0.3076923076923077,1,True,0,0.0,0,0.087757684290409,0.1848149299621582,0.2559938430786133,0.4714335203170776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2946277558803558,1
5,00:07:10,12907.0,0,0,Ratchanok INTANON,2,挑球,0,1,2.0,8,606.0,483.0,1.0,3,508.0,309.0,,,Ratchanok INTANON,,8,0.2172693903562184,0.5794408552115039,9,0.1320742356944564,-0.7628669091685637,0,1,57,2898,0.3846153846153846,0,True,0,0.0,0,0.0617801658809185,0.1301070898771286,0.1802160441875457,0.3825204074382782,0.2453763484954834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3704297244548797,1
6,00:07:11,12949.0,0,0,An Se Young,2,切球,0,0,1.0,4,508.0,309.0,2.0,7,559.0,502.0,,,Ratchanok INTANON,,10,-0.8060127308306743,-1.519140161863189,9,-0.1017455809159173,0.9257219671239282,0,1,57,2898,0.4615384615384615,1,True,0,0.0,0,0.0462228432297706,0.0973438620567321,0.1348345130681991,0.2861950993537903,0.1824293136596679,0.2529743611812591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3822973370552063,1
7,00:07:12,12975.0,0,0,Ratchanok INTANON,2,推撲球,0,1,2.0,8,559.0,502.0,1.0,8,749.0,329.0,,,Ratchanok INTANON,,9,-0.2435086281336323,0.8102590035652355,9,-0.3609316466143794,-1.0590977468383798,0,1,57,2898,0.5384615384615384,0,True,0,0.0,0,0.0369842015206813,0.0778875723481178,0.1078848913311958,0.2289927750825882,0.1459668427705764,0.2197025269269943,0.1825812309980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4151308536529541,1
8,00:07:13,12995.0,0,0,An Se Young,2,殺球,1,0,1.0,9,749.0,329.0,2.0,5,827.0,521.0,,,Ratchanok INTANON,,9,0.4388801406421407,-1.18942155347192,9,0.2773228836703485,1.014832902912436,0,1,57,2898,0.6153846153846154,1,True,0,0.0,0,0.0283067505806684,0.0596131347119808,0.0825723111629486,0.1752651631832122,0.1117192581295967,0.1681546568870544,0.1350474953651428,0.2393212467432022,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3826988339424133,1
9,00:07:13,13009.0,0,0,Ratchanok INTANON,2,網前球,0,0,2.0,6,827.0,521.0,2.0,5,492.0,381.0,,,Ratchanok INTANON,,9,0.7724269557260872,1.0165581499848482,9,0.5680213111738909,-1.0153878926336473,0,1,57,2898,0.6153846153846154,0,True,0,0.0,0,0.0238158144056797,0.0501553639769554,0.0694720149040222,0.1474589109420776,0.0939947217702865,0.1414764970541,0.1136218756437301,0.1909466981887817,0.169058084487915,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427639365196228,1
10,00:07:14,13037.0,0,0,An Se Young,2,網前球,0,0,2.0,6,492.0,381.0,2.0,2,443.0,482.0,,,Ratchanok INTANON,,9,-0.7011032992239175,-0.6565878692561959,9,0.0476931353155702,0.8445235436058844,0,1,57,2898,0.6923076923076923,1,True,0,0.0,0,0.0208903383463621,0.0439943931996822,0.0609382279217243,0.1293453872203827,0.082448624074459,0.124097853899002,0.0996648296713829,0.1674912422895431,0.1692248284816742,0.1019042506814003,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4319998025894165,1
