ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,win_prob,rally
1,00:06:52,10311.0,0,0,CHOU Tien Chen,1,發短球,0,1,2.0,8,,,,8,592.0,408.0,,,CHOU Tien Chen,,9,0.1272720912551617,0.7841547677827526,9,-0.3967214589212336,-1.014848102376253,0,1,36,1077,0.0,0,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.575477659702301,1
2,00:06:53,10334.0,0,0,Anders ANTONSEN,2,網前球,0,0,2.0,9,592.0,408.0,,7,676.0,479.0,,,CHOU Tien Chen,,9,-0.3925947385893467,-0.6771335811431584,9,0.1341994304385468,0.7664432900801353,0,1,36,1077,0.0588235294117647,1,True,0,0.0,0,0.23695008456707,0.7630499601364136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.1765806227922439,1
3,00:06:54,10352.0,0,0,CHOU Tien Chen,2,網前球,0,0,2.0,8,676.0,479.0,,7,621.0,437.0,,,CHOU Tien Chen,,8,0.2711311610479459,0.4251270803435331,9,-0.0150728550104377,-0.7610830443858182,0,1,36,1077,0.1176470588235294,0,True,0,0.0,0,0.0305934976786375,0.0982780307531356,0.8711284399032593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.8533865809440613,1
4,00:06:55,10375.0,0,0,Anders ANTONSEN,2,挑球,0,0,2.0,8,621.0,437.0,,3,801.0,626.0,,,CHOU Tien Chen,,8,-0.0155857896851052,-0.4508544113798486,8,0.2314739905547032,0.6038274951348216,0,1,36,1077,0.1764705882352941,1,True,0,0.0,0,0.0270348116755485,0.086846187710762,0.2931741774082184,0.5929448008537292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.4374548196792602,1
5,00:06:56,10406.0,0,0,CHOU Tien Chen,2,切球,0,0,1.0,4,801.0,626.0,,5,505.0,404.0,,,CHOU Tien Chen,,10,0.7589750842603852,1.574619345576055,9,-0.0067274564047923,-1.0004017261711102,0,1,36,1077,0.2352941176470588,0,True,0,0.0,0,0.0100162057206034,0.0321758836507797,0.1086189076304435,0.2084855437278747,0.6407034397125244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.6174303889274597,1
6,00:06:56,10424.0,0,0,Anders ANTONSEN,2,網前球,0,0,2.0,6,505.0,404.0,,2,461.0,493.0,,,CHOU Tien Chen,,9,-0.7631679903810469,-0.690702703013757,9,0.5114049153232956,1.3404461026947123,0,1,36,1077,0.2352941176470588,1,True,0,0.0,0,0.0095820538699626,0.0307812299579381,0.1039108484983444,0.1994487941265106,0.2373125851154327,0.4189645051956177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.2872638404369354,1
7,00:06:57,10447.0,0,0,CHOU Tien Chen,2,挑球,0,1,2.0,3,461.0,493.0,,9,747.0,332.0,,,CHOU Tien Chen,,3,-0.8503455980390765,0.6088848387476992,9,-0.3974230392246368,-0.8120547457271131,0,1,36,1077,0.2941176470588235,0,True,0,0.0,0,0.0033780343364924,0.0108515406027436,0.0366324856877327,0.0703132301568985,0.0836616232991218,0.1280105710029602,0.667152464389801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.6863362789154053,1
8,00:06:59,10477.0,0,0,Anders ANTONSEN,2,殺球,1,0,1.0,10,747.0,332.0,,5,828.0,551.0,,,CHOU Tien Chen,,10,0.3916447075486696,-1.4284750571111964,9,0.2255152315794691,1.0170549583854651,0,1,36,1077,0.4117647058823529,1,True,0,0.0,0,0.0031544915400445,0.0101334359496831,0.0342083051800727,0.0656601935625076,0.0781252682209014,0.1195393949747085,0.2562260627746582,0.4329528510570526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.2901543080806732,1
9,00:06:59,10492.0,0,0,CHOU Tien Chen,2,接殺防守,0,0,2.0,6,828.0,551.0,,8,738.0,357.0,,,CHOU Tien Chen,,9,0.7550456287747155,1.0441411597925512,10,0.4813729005692436,-1.400229888987793,0,1,36,1077,0.4117647058823529,0,True,0,0.0,0,0.0011747687822207,0.0037738080136477,0.0127395670861005,0.0244526080787181,0.029094748198986,0.0445178374648094,0.0954215228557586,0.1453997790813446,0.6434253454208374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.6856647729873657,1
10,00:07:00,10515.0,0,0,Anders ANTONSEN,2,殺球,1,0,1.0,9,738.0,357.0,,8,733.0,547.0,,,CHOU Tien Chen,,9,0.4832956189309534,-1.1026547132915467,9,0.6100167114867225,1.0185240141450045,0,1,36,1077,0.4705882352941176,1,True,0,0.0,0,0.0013414056738838,0.0043091094121336,0.0145466299727559,0.027921125292778,0.0332217328250408,0.0508325397968292,0.1089567318558693,0.1660242229700088,0.3623909950256347,0.2304554134607315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5370852947235107,1
