ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,win_prob,rally
1,00:07:48,11710.0,0,0,CHEN Long,1,發短球,0,1,2.0,8,,,,7,702.0,518.0,,,CHOU Tien Chen,,9,-0.0661196889701028,-0.7827361650483772,9,0.4883432773402323,1.0304111765264807,0,1,25,216,0.0,1,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5441775918006897,1
2,00:07:49,11729.0,0,0,CHOU Tien Chen,2,網前球,0,0,2.0,8,702.0,518.0,,1,461.0,449.0,,,CHOU Tien Chen,,9,0.2692367600133322,0.6407353136535594,9,-0.0659130951997011,-0.7680107138304632,0,1,25,216,0.0476190476190476,0,True,0,0.0,0,0.3991725742816925,0.6008273959159851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.575925886631012,1
3,00:07:50,11751.0,0,0,CHEN Long,2,挑球,0,0,2.0,2,461.0,449.0,,4,402.0,637.0,,,CHOU Tien Chen,,8,-0.7955459057895337,-0.4152059350884973,9,-0.0782970480365588,0.8222640196228846,0,1,25,216,0.0952380952380952,1,True,0,0.0,0,0.29458948969841,0.3864403665065765,0.3189701735973358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5343571901321411,1
4,00:07:51,11783.0,0,0,CHOU Tien Chen,2,殺球,1,0,1.0,5,402.0,637.0,,5,474.0,395.0,,,CHOU Tien Chen,,9,-0.7143079347504465,1.4143612795780331,9,-0.4550955735036798,-1.0100504964643544,0,1,25,216,0.1428571428571428,0,True,0,0.0,0,0.2262839376926422,0.2968376278877258,0.2724097371101379,0.2044686377048492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5766726732254028,1
5,00:07:51,11794.0,0,0,CHEN Long,2,網前球,0,0,2.0,6,474.0,395.0,,7,739.0,516.0,,,CHOU Tien Chen,,9,-0.7219096055593558,-1.104840062233358,9,-0.6410018879062316,1.3303755529854584,0,1,25,216,0.1428571428571428,1,True,0,0.0,0,0.189804121851921,0.2489836812019348,0.2284938544034958,0.161076471209526,0.1716418266296386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.6152211427688599,1
6,00:07:52,11819.0,0,0,CHOU Tien Chen,2,推撲球,0,0,2.0,8,739.0,516.0,,9,740.0,370.0,,,CHOU Tien Chen,,9,0.2376366678508316,0.6986878528236424,9,-0.1667479332844321,-0.9793471787746096,0,1,25,216,0.1904761904761904,0,True,0,0.0,0,0.1502030044794082,0.1970352381467819,0.1808204501867294,0.1274691671133041,0.133528932929039,0.2109431475400924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.6791098713874817,1
7,00:07:53,11842.0,0,0,CHEN Long,2,殺球,1,0,1.0,10,740.0,370.0,,6,438.0,565.0,,,CHOU Tien Chen,,9,0.2688326520421065,-1.2200702039801603,9,0.3439969978954704,0.9185380768801495,0,1,25,216,0.238095238095238,1,True,0,0.0,0,0.1171066835522651,0.1536197066307068,0.1409777402877807,0.0993820875883102,0.1041066348552703,0.2160668969154358,0.1687402874231338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.708534300327301,1
8,00:07:54,11861.0,0,0,CHOU Tien Chen,2,接殺防守,0,1,2.0,7,438.0,565.0,,1,498.0,451.0,,,CHOU Tien Chen,,9,-0.6185890660421105,0.862317258007297,9,0.2629213999893065,-1.2865739648927836,0,1,25,216,0.2857142857142857,0,True,0,0.0,0,0.0910745784640312,0.119470976293087,0.1096392497420311,0.0772900581359863,0.0809643641114234,0.168036550283432,0.1258028745651245,0.2277213037014007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7294107675552368,1
9,00:07:55,11883.0,0,0,CHEN Long,2,網前球,0,0,2.0,2,498.0,451.0,,1,879.0,517.0,,,CHOU Tien Chen,,9,-0.6767057115083275,-0.636361926704985,9,-0.5072511395673476,1.0031737214868006,0,1,25,216,0.3333333333333333,1,True,0,0.0,0,0.0872751921415329,0.1144869774580001,0.1050653830170631,0.0740657225251197,0.0775867477059364,0.1610265076160431,0.1205547153949737,0.2030650824308395,0.0568736679852008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7059245109558105,1
10,00:07:56,11910.0,0,0,CHOU Tien Chen,2,挑球,0,0,2.0,2,879.0,517.0,,9,745.0,366.0,,,CHOU Tien Chen,,2,1.1719505354320898,0.5962034536435787,9,0.154044060875623,-0.7980196114618909,0,1,25,216,0.3809523809523809,0,True,0,0.0,0,0.0847177803516388,0.1111321747303009,0.1019866615533828,0.0718953758478164,0.0753132328391075,0.1563079506158828,0.1170221120119094,0.1971146762371063,0.0551871545612812,0.0293228924274444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7095598578453064,1
11,00:07:57,11943.0,0,0,CHEN Long,2,殺球,1,0,1.0,10,745.0,366.0,,5,845.0,565.0,,,CHOU Tien Chen,,10,0.7884909427105644,-1.406008514306197,9,0.7064816162985642,0.8170990404667015,0,1,25,216,0.4285714285714285,1,True,0,0.0,0,0.0829998776316642,0.1088786423206329,0.0999185815453529,0.070437490940094,0.0737860351800918,0.1531383544206619,0.1146491467952728,0.1931176036596298,0.0540680736303329,0.0371256992220878,0.0118804583325982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7150332927703857,1
12,00:07:58,11958.0,0,0,CHOU Tien Chen,2,接殺防守,0,0,2.0,6,845.0,565.0,,2,776.0,447.0,,,CHOU Tien Chen,,9,0.7670425621928336,0.9769125994824126,10,0.598736914511826,-1.4058845026834887,0,1,25,216,0.4761904761904761,0,True,0,0.0,0,0.0808116793632507,0.1060081794857978,0.0972843393683433,0.0685804784297943,0.0718407481908798,0.1491010338068008,0.1116265505552291,0.1880262792110443,0.0526426285505294,0.0361469201743602,0.0113447047770023,0.0265864413231611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.7169204354286194,1
