ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,ball_round48,ball_round49,win_prob,rally
1,00:01:14,1874.0,0,0,Jonatan CHRISTIE,1,發短球,0,1,2.0,8,,,2.0,1,483.0,420.0,,,CHOU Tien Chen,,9,0.1101001595533463,0.7950444984740189,9,-0.4689305267040702,-0.9809085211994396,0,1,43,1740,0.0,1,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4348548650741577,1
2,00:01:15,1891.0,0,0,CHOU Tien Chen,2,網前球,0,0,2.0,2,483.0,420.0,2.0,7,795.0,476.0,,,CHOU Tien Chen,,8,-0.8031334089162339,-0.4723573451595386,9,0.0580575203257533,0.7594742904971413,0,1,43,1740,0.1666666666666666,0,True,0,0.0,0,0.4252366423606872,0.5747633576393127,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3975717425346374,1
3,00:01:16,1911.0,0,0,Jonatan CHRISTIE,2,挑球,0,0,2.0,8,795.0,476.0,1.0,5,492.0,352.0,,,CHOU Tien Chen,,8,0.6996873085930438,0.5059968046108345,9,-0.0331803880561963,-0.6190779925968167,0,1,43,1740,0.3333333333333333,1,True,0,0.0,0,0.2347427308559417,0.3173177242279053,0.4479395151138305,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4055467545986175,1
4,00:01:17,1941.0,0,0,CHOU Tien Chen,2,殺球,0,0,1.0,6,492.0,352.0,2.0,5,440.0,568.0,,,CHOU Tien Chen,,9,-0.6496534361968432,-1.3157293099897889,9,-0.0014983037542013,0.9255236525724176,0,1,43,1740,0.5,0,True,0,0.0,0,0.1258330643177032,0.1700971275568008,0.2349687963724136,0.4691009819507599,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4710699915885925,1
5,00:01:18,1951.0,0,0,Jonatan CHRISTIE,2,接殺防守,0,1,2.0,6,440.0,568.0,2.0,8,593.0,408.0,,,CHOU Tien Chen,,9,0.2734109865965811,1.1383696079864585,4,-1.2821845632822515,-1.4419912344997126,0,1,43,1740,0.6666666666666666,1,True,0,0.0,0,0.0798394381999969,0.1079244092106819,0.1490846574306488,0.2796633541584015,0.3834880590438843,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4957717061042785,1
6,00:01:19,1978.0,0,0,CHOU Tien Chen,2,推撲球,0,1,2.0,9,593.0,408.0,1.0,4,902.0,640.0,,,CHOU Tien Chen,,9,-0.5887728998609875,-0.6843719102388208,9,-0.1172906722189122,0.9172366125412594,0,1,43,1740,0.8333333333333334,0,True,0,0.0,0,0.051442764699459,0.0695386976003646,0.0960593894124031,0.1801948696374893,0.2346404790878296,0.3681237697601318,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5153917670249939,1
7,00:01:20,2005.0,0,0,Jonatan CHRISTIE,3,長球,0,0,1.0,5,902.0,640.0,2.0,10,903.0,338.0,出界,對手出界,CHOU Tien Chen,,9,0.7319906781905572,1.4168795696661594,9,0.0828865646105168,-1.0125139075654543,0,1,43,1740,1.0,1,True,0,0.0,0,0.042364340275526,0.0572667755186557,0.0791071951389312,0.1483947485685348,0.1932320296764373,0.2942753434181213,0.1853595674037933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4969135522842407,1
1,00:01:33,2342.0,1,0,CHOU Tien Chen,1,發短球,0,1,2.0,8,,,2.0,7,525.0,503.0,,,CHOU Tien Chen,,9,0.053166977481216,-0.7830155783326743,9,-0.6588181457768036,1.100143357096328,0,1,43,1741,0.0,0,True,0,-1.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4007810652256012,2
2,00:01:34,2358.0,1,0,Jonatan CHRISTIE,2,網前球,0,1,2.0,8,525.0,503.0,2.0,2,830.0,433.0,,,CHOU Tien Chen,,8,-0.3243329057028,0.6415052942085003,9,-0.0067389706258737,-0.8530479255569311,0,1,43,1741,0.0909090909090909,1,True,0,-1.0,-1,0.4178484380245209,0.5821515321731567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3914504945278168,2
3,00:01:35,2378.0,1,0,CHOU Tien Chen,2,挑球,0,1,2.0,3,830.0,433.0,1.0,3,380.0,633.0,,,CHOU Tien Chen,,9,0.8111190474339023,-0.5427796040308236,9,0.0912729430980456,0.7683619780429692,0,1,43,1741,0.1818181818181818,0,True,0,-1.0,-1,0.166763424873352,0.2250861376523971,0.6081504821777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46244677901268,2
