ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,ball_round48,ball_round49,ball_round50,ball_round51,ball_round52,ball_round53,ball_round54,ball_round55,ball_round56,ball_round57,ball_round58,ball_round59,ball_round60,ball_round61,win_prob,rally
1,0:07:39,11496.0,0,0,Kento MOMOTA,1,發短球,0,1,2.0,8,,,1.0,7,620.0,407.0,,,Kento MOMOTA,,9,0.1035577166229593,0.8596900805312965,9,-0.292687173959626,-0.8252678878633102,0,1,23,0,0.0,1,True,1,0.0,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7323622107505798,1
2,00:07:43,11582.0,0,0,CHOU Tien Chen,3,長球,0,1,2.0,8,620.0,407.0,2.0,10,825.0,679.0,出界,對手出界,Kento MOMOTA,,9,-0.2574461510908699,-0.5836199217082108,9,0.0349136755730959,0.9891221860888456,0,1,23,0,1.0,0,True,1,0.0,0,0.1043041720986366,0.8956958651542664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9823755025863647,1
1,0:07:55,11881.0,1,0,Kento MOMOTA,1,發短球,0,1,2.0,8,,,2.0,8,725.0,396.0,,,Kento MOMOTA,,9,-0.0877481516878167,0.8342478085269344,9,0.7248458190899159,-0.8209970374693748,0,1,23,1,0.0,1,True,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6892997622489929,2
2,0:07:56,11900.0,1,0,CHOU Tien Chen,2,推撲球,0,1,1.0,9,725.0,396.0,2.0,8,527.0,627.0,,,Kento MOMOTA,,9,0.3045914166853712,-0.5925513884588008,9,0.035016570043253,0.9731277545368228,0,1,23,1,0.3333333333333333,0,True,1,1.0,1,0.1918994039297104,0.8081006407737732,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9764938354492188,2
3,0:07:56,11921.0,1,0,Kento MOMOTA,2,殺球,0,0,2.0,9,527.0,627.0,1.0,8,604.0,353.0,,,Kento MOMOTA,,9,-0.4418841391758984,1.390403235384655,9,-0.0648246322283536,-1.004049864226846,0,1,23,1,0.3333333333333333,1,True,1,1.0,1,0.1501196175813675,0.5101777911186218,0.3397025465965271,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.934950590133667,2
4,0:07:57,11934.0,1,0,CHOU Tien Chen,2,接殺防守,0,1,1.0,9,604.0,353.0,2.0,7,537.0,481.0,,,Kento MOMOTA,,9,-0.2630766684323441,-1.1407673063330552,9,-0.2823066286232124,1.3178832929966326,0,1,23,1,0.6666666666666666,0,True,1,1.0,1,0.0517513342201709,0.1758756339550018,0.0473497174680233,0.7250232696533203,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9557599425315856,2
5,0:07:58,11952.0,1,0,Kento MOMOTA,2,推撲球,0,0,2.0,8,537.0,481.0,1.0,8,648.0,357.0,,,Kento MOMOTA,,9,-0.4402286887220961,0.8329874944887917,9,-0.2153738024702648,-1.029135232688198,0,1,23,1,1.0,1,True,1,1.0,1,0.0432937406003475,0.1471326947212219,0.0396114662289619,0.2695095539093017,0.5004525184631348,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5221595764160156,2
6,0:07:58,11965.0,1,0,CHOU Tien Chen,3,平球,0,0,2.0,9,648.0,357.0,1.0,10,1012.0,679.0,未過網,對手未過網,Kento MOMOTA,,9,0.0694133688798512,-0.9068454935606411,9,-0.1661539470573086,0.9483110092544552,0,1,23,1,1.0,0,True,1,1.0,1,0.0211412906646728,0.0718481540679931,0.0193431619554758,0.1316075176000595,0.1936491429805755,0.5624107718467712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8554130792617798,2
1,0:08:11,12298.0,2,0,Kento MOMOTA,1,發短球,0,1,2.0,8,,,1.0,8,607.0,372.0,,,CHOU Tien Chen,,9,0.0970580753837251,0.88428310937585,9,-0.3376758514088693,-0.8490658999392767,0,1,23,2,0.0,1,True,0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6426889896392822,3
2,0:08:12,12313.0,2,0,CHOU Tien Chen,2,網前球,0,1,1.0,9,607.0,372.0,2.0,7,532.0,515.0,,,CHOU Tien Chen,,9,-0.452412319840027,-0.5956633999059143,9,-0.1301778294527172,0.8998086760879153,0,1,23,2,0.0384615384615384,0,True,0,2.0,2,0.1053585037589073,0.8946415185928345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9739975333213806,3
3,0:08:13,12331.0,2,0,Kento MOMOTA,2,挑球,0,0,2.0,8,532.0,515.0,1.0,3,521.0,321.0,,,CHOU Tien Chen,,8,-0.7457228709874929,0.5761371516318791,9,-0.2547263249740089,-0.7782152848240335,0,1,23,2,0.0769230769230769,1,True,0,2.0,2,0.0526933707296848,0.2757315337657928,0.671575129032135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5441412329673767,3
4,0:08:14,12362.0,2,0,CHOU Tien Chen,2,殺球,0,0,1.0,4,521.0,321.0,2.0,8,715.0,566.0,,,CHOU Tien Chen,,10,-0.5805046252893489,-1.3984858791370691,9,-0.1333765561845224,1.1143527245969953,0,1,23,2,0.1153846153846153,0,True,0,2.0,2,0.02937594614923,0.1537171304225921,0.5554358959197998,0.2614710628986358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3423280119895935,3
5,0:08:14,12372.0,2,0,Kento MOMOTA,2,接殺防守,0,1,1.0,9,715.0,566.0,2.0,7,762.0,404.0,,,CHOU Tien Chen,,9,-0.0672663603257915,1.1684573903826834,10,-0.538806285261253,-1.5043522427664666,0,1,23,2,0.1153846153846153,1,True,0,2.0,2,0.0193774458020925,0.1013974323868751,0.3663857877254486,0.161392867565155,0.3514464795589447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225575640797615,3
6,0:08:16,12400.0,2,0,CHOU Tien Chen,2,挑球,0,1,2.0,8,762.0,404.0,1.0,8,514.0,628.0,,,CHOU Tien Chen,,9,0.6412831106867612,-0.6705462193992208,9,0.2921360231293178,1.0925277168866152,0,1,23,2,0.1923076923076923,0,True,0,2.0,2,0.0099254557862877,0.0519374646246433,0.1876689344644546,0.082668125629425,0.0651335716247558,0.6026664972305298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9149610996246338,3
7,0:08:17,12429.0,2,0,Kento MOMOTA,2,殺球,0,0,1.0,9,514.0,628.0,2.0,8,526.0,359.0,,,CHOU Tien Chen,,10,-0.2730935107211079,1.6024614946537128,9,-0.0123132135955795,-0.9794983445298776,0,1,23,2,0.2307692307692307,1,True,0,2.0,2,0.0072987927123904,0.038192793726921,0.1380044370889663,0.0607909299433231,0.0478967018425464,0.4253395497798919,0.2824767529964447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8202837109565735,3
8,0:08:17,12446.0,2,0,CHOU Tien Chen,2,接殺防守,0,0,1.0,9,526.0,359.0,2.0,7,514.0,482.0,,,CHOU Tien Chen,,9,-0.5248509172026451,-0.8974022559163908,9,-0.2537660459210064,1.2958038436052146,0,1,23,2,0.2307692307692307,0,True,0,2.0,2,0.0032242005690932,0.0168714579194784,0.0609626993536949,0.026854058727622,0.0211581028997898,0.1878914088010788,0.0825392380356788,0.6004987955093384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872452974319458,3
9,0:08:18,12465.0,2,0,Kento MOMOTA,2,網前球,0,0,1.0,8,514.0,482.0,2.0,2,773.0,408.0,,,CHOU Tien Chen,,9,-0.7581051361539517,0.9462198238935482,9,-0.2737694940713495,-0.956394123233031,0,1,23,2,0.2692307692307692,1,True,0,2.0,2,0.0025994605384767,0.0136023415252566,0.0491502061486244,0.0216506533324718,0.0170583799481391,0.1514844298362732,0.0665459334850311,0.2445620000362396,0.433346539735794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345846951007843,3
10,0:08:19,12492.0,2,0,CHOU Tien Chen,2,網前球,0,1,1.0,3,773.0,408.0,2.0,1,781.0,469.0,,,CHOU Tien Chen,,8,0.6647499765645243,-0.3817687026799214,9,0.1571723675809932,0.949453223795826,0,1,23,2,0.3076923076923077,0,True,0,2.0,2,0.0025462373159825,0.0133238397538661,0.0481438711285591,0.0212073642760515,0.016709117218852,0.1483828425407409,0.065183438360691,0.2395547032356262,0.1391179114580154,0.3058306574821472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7482088208198547,3
11,0:08:20,12516.0,2,0,Kento MOMOTA,2,挑球,0,1,2.0,2,781.0,469.0,1.0,3,496.0,325.0,,,CHOU Tien Chen,,8,0.7403190375019443,0.4750412063250835,9,0.7066460587882984,-0.6702755697057388,0,1,23,2,0.3461538461538461,1,True,0,2.0,2,0.0021541411988437,0.0112720932811498,0.0407301671802997,0.0179416295140981,0.0141360713168978,0.1255332827568054,0.0551458001136779,0.2026655226945877,0.1176950633525848,0.1892737597227096,0.2234524488449096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3610260784626007,3
12,0:08:22,12560.0,2,0,CHOU Tien Chen,2,殺球,0,0,1.0,4,496.0,325.0,2.0,8,746.0,554.0,,,CHOU Tien Chen,,9,-0.5014486889420859,-1.371945334383831,9,-0.0197214854951556,1.2593724536448352,0,1,23,2,0.4230769230769231,0,True,0,2.0,2,0.001721775275655,0.0090096266940236,0.0325550474226474,0.0143404938280582,0.0112987635657191,0.1003370061516761,0.0440772697329521,0.1619877219200134,0.0940720215439796,0.1512838900089264,0.2579374611377716,0.1213788911700248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345644474029541,3
13,0:08:23,12577.0,2,0,Kento MOMOTA,2,接殺防守,0,1,1.0,9,746.0,554.0,2.0,8,756.0,391.0,,,CHOU Tien Chen,,9,0.743533668686407,1.140564111717712,9,-0.1509038567163914,-1.2925914539086398,0,1,23,2,0.4615384615384615,1,True,0,2.0,2,0.0013675723457708,0.0071561695076525,0.025857837870717,0.0113903731107711,0.0089743863791227,0.0796957090497016,0.0350097082555294,0.1286636739969253,0.0747195556759834,0.1201618164777755,0.2048746645450592,0.0635648667812347,0.2385636866092682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27824667096138,3
14,0:08:24,12602.0,2,0,CHOU Tien Chen,2,挑球,0,1,2.0,9,756.0,391.0,1.0,8,501.0,627.0,,,CHOU Tien Chen,,9,0.76315950573449,-0.5570285812332226,9,0.414493746003528,1.0459583946652942,0,1,23,2,0.5,0,True,0,2.0,2,0.0008449211600236,0.0044212648645043,0.0159756410866975,0.00703726708889,0.0055446065962314,0.049238059669733,0.0216298978775739,0.0794917270541191,0.0461636669933795,0.0742390602827072,0.1265768259763717,0.0392720103263855,0.0416128560900688,0.4879521429538727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8809556365013123,3
15,0:08:25,12631.0,2,0,Kento MOMOTA,2,切球,0,0,2.0,9,501.0,627.0,1.0,8,539.0,390.0,,,CHOU Tien Chen,,10,-0.5925005208162946,1.546102238263554,9,-0.1166734741697941,-0.9316239163064872,0,1,23,2,0.5384615384615384,1,True,0,2.0,2,0.0005856410134583,0.0030645155347883,0.0110732112079858,0.0048777479678392,0.0038431386929005,0.0341284237802028,0.0149923525750637,0.0550981760025024,0.0319974645972251,0.0514573939144611,0.0877343267202377,0.0272206477820873,0.0288431607186794,0.1635942012071609,0.4814897179603576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5292824506759644,3
