ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:25,11560.0,0,0,LEE Zii Jia,1,發短球,0,1,2.0,7,,,2.0,7,564.0,388.0,,,CHOU Tien Chen,,8,0.1140994654326694,0.8278885225634672,8,-0.4321150703366526,-0.8529568351510793,0,1,59,3043,0.0,1,True,0,0.0,0
2,00:06:25,11578.0,0,0,CHOU Tien Chen,2,網前球,0,0,2.0,7,564.0,388.0,2.0,1,822.0,494.0,,,CHOU Tien Chen,,7,-0.4367983302041596,-0.5250425559928754,8,0.1742385130010204,0.8447594991830888,0,1,59,3043,0.0,0,True,0,0.0,0
3,00:06:26,11598.0,0,0,LEE Zii Jia,3,挑球,0,0,2.0,1,822.0,494.0,2.0,10,470.0,295.0,出界,對手出界,CHOU Tien Chen,,8,0.5451093500806227,0.7206907224359066,8,-0.2348103975992625,-0.7395874488607967,0,1,59,3043,1.0,1,True,0,0.0,0
1,00:06:37,11935.0,1,0,CHOU Tien Chen,1,發短球,0,1,2.0,7,,,2.0,7,579.0,490.0,,,LEE Zii Jia,,8,0.0746703653504758,-0.77457471710168,8,-0.530829243787649,1.01051995586096,0,1,59,3044,0.0,0,True,1,-1.0,-1
2,00:06:38,11953.0,1,0,LEE Zii Jia,2,網前球,0,0,2.0,7,579.0,490.0,2.0,1,477.0,407.0,,,LEE Zii Jia,,8,-0.4530876134123745,0.6636646864955568,8,0.0525298244539916,-0.7871328000145503,0,1,59,3044,0.25,1,True,1,-1.0,-1
3,00:06:39,11974.0,1,0,CHOU Tien Chen,2,網前球,0,0,2.0,1,477.0,407.0,2.0,2,445.0,472.0,,,LEE Zii Jia,,8,-0.6696771743308108,-0.5617793839500781,8,-0.370763407164943,0.6986485220557229,0,1,59,3044,0.5,0,True,1,-1.0,-1
4,00:06:39,11999.0,1,0,LEE Zii Jia,2,挑球,0,1,2.0,2,445.0,472.0,1.0,4,792.0,317.0,,,LEE Zii Jia,,2,-0.9596352331168436,0.3816703474298191,8,-0.5654490157377181,-0.6204961124214311,0,1,59,3044,0.5,1,True,1,-1.0,-1
5,00:06:41,12035.0,1,0,CHOU Tien Chen,3,殺球,1,0,1.0,4,792.0,317.0,2.0,2,823.0,432.0,掛網,對手掛網,LEE Zii Jia,,9,0.5076374407112088,-1.4380213735453011,8,-0.1036858575711991,0.8267453765654148,0,1,59,3044,1.0,0,True,1,-1.0,-1
1,00:06:55,12452.0,1,1,LEE Zii Jia,1,發短球,0,1,2.0,7,,,2.0,7,722.0,389.0,,,LEE Zii Jia,,8,-0.0793629702940154,0.8351620089940877,8,0.7218486086557798,-0.9214876726609492,0,1,59,3045,0.0,1,True,1,0.0,1
2,00:06:55,12467.0,1,1,CHOU Tien Chen,2,網前球,0,1,2.0,7,722.0,389.0,2.0,2,450.0,498.0,,,LEE Zii Jia,,8,0.2099268030511869,-0.532610274798507,8,-0.0314742171160224,0.7769893591414357,0,1,59,3045,0.0,0,True,1,0.0,1
