ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:39,11989.0,0,0,Busanan ONGBAMRUNGPHAN,1,發長球,0,0,2.0,7,,,1.0,9,555.0,315.0,,,Busanan ONGBAMRUNGPHAN,,8,0.2906059163138612,0.9752276145657568,8,-0.3293126383369738,-1.1093559638651975,0,1,58,2973,0.0,0,True,0,0.0,0
2,00:06:41,12054.0,0,0,Mia BLICHFELDT,2,長球,0,0,1.0,9,555.0,315.0,1.0,4,437.0,619.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.6605768897876446,-1.4427695704553642,8,0.0874246519786978,1.1071816865037938,0,1,58,2973,0.1052631578947368,1,True,0,0.0,0
3,00:06:43,12095.0,0,0,Busanan ONGBAMRUNGPHAN,2,切球,1,0,1.0,4,437.0,619.0,2.0,1,446.0,396.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.594720904814327,1.5358940375694032,8,-0.1744671113709201,-1.055491748339603,0,1,58,2973,0.2105263157894736,0,True,0,0.0,0
4,00:06:44,12121.0,0,0,Mia BLICHFELDT,2,網前球,0,0,2.0,1,446.0,396.0,2.0,1,796.0,480.0,,,Busanan ONGBAMRUNGPHAN,,5,-1.1036507663283048,-0.6213337632275199,9,-0.434704897473392,1.5567502212795852,0,1,58,2973,0.2631578947368421,1,True,0,0.0,0
5,00:06:45,12152.0,0,0,Busanan ONGBAMRUNGPHAN,2,挑球,0,0,2.0,1,796.0,480.0,1.0,3,506.0,314.0,,,Busanan ONGBAMRUNGPHAN,,8,0.5989756966146147,0.6778570262921862,8,0.0618859649882605,-0.9499997711914322,0,1,58,2973,0.3157894736842105,0,True,0,0.0,0
6,00:06:46,12186.0,0,0,Mia BLICHFELDT,2,切球,0,0,1.0,3,506.0,314.0,2.0,1,828.0,498.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.5552820374476217,-1.4136325292670513,8,0.1418779866632875,0.9904551881556624,0,1,58,2973,0.3684210526315789,1,True,0,0.0,0
7,00:06:47,12216.0,0,0,Busanan ONGBAMRUNGPHAN,2,挑球,0,0,2.0,1,828.0,498.0,1.0,3,480.0,311.0,,,Busanan ONGBAMRUNGPHAN,,8,0.7541435692362002,0.8558205104039226,8,-0.1620909107800417,-1.2027230015378936,0,1,58,2973,0.4210526315789473,0,True,0,0.0,0
8,00:06:48,12249.0,0,0,Mia BLICHFELDT,2,平球,0,0,1.0,3,480.0,311.0,2.0,6,407.0,557.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.722332045927269,-1.2194393073247995,8,0.1396092775234842,1.1227159544075498,0,1,58,2973,0.4736842105263157,1,True,0,0.0,0
9,00:06:48,12264.0,0,0,Busanan ONGBAMRUNGPHAN,2,接殺防守,0,1,2.0,6,407.0,557.0,1.0,6,789.0,322.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.2314741501133672,1.151492279318428,9,-0.4973568095676886,-1.3708110904402122,0,1,58,2973,0.4736842105263157,0,True,0,0.0,0
10,00:06:49,12294.0,0,0,Mia BLICHFELDT,2,長球,1,0,1.0,6,789.0,322.0,1.0,9,491.0,623.0,,,Busanan ONGBAMRUNGPHAN,,8,0.1230283019639751,-1.014516431907985,8,0.017518169827631,1.1676906049329243,0,1,58,2973,0.5263157894736842,1,True,0,0.0,0
11,00:06:51,12336.0,0,0,Busanan ONGBAMRUNGPHAN,2,長球,1,0,1.0,9,491.0,623.0,1.0,8,751.0,327.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.2293636252014898,1.510329495235056,8,-0.1369482012245922,-1.0949930261815253,0,1,58,2973,0.631578947368421,0,True,0,0.0,0
12,00:06:52,12361.0,0,0,Mia BLICHFELDT,2,長球,1,0,1.0,8,751.0,327.0,1.0,4,424.0,624.0,,,Busanan ONGBAMRUNGPHAN,,8,0.0089071720979725,-1.0413368129176457,8,-0.1552416561587548,1.4069728925215692,0,1,58,2973,0.6842105263157895,1,True,0,0.0,0
13,00:06:53,12402.0,0,0,Busanan ONGBAMRUNGPHAN,2,長球,0,0,1.0,4,424.0,624.0,1.0,5,477.0,323.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.5148979083368664,1.5091235687590998,8,-0.254539233185106,-0.9260204983577704,0,1,58,2973,0.7368421052631579,0,True,0,0.0,0
14,00:06:54,12437.0,0,0,Mia BLICHFELDT,2,長球,0,0,1.0,5,477.0,323.0,1.0,5,830.0,592.0,,,Busanan ONGBAMRUNGPHAN,,3,-1.107325098127272,-1.517420544157266,8,-0.1852983995499357,1.3358879883064123,0,1,58,2973,0.7894736842105263,1,True,0,0.0,0
15,00:06:55,12463.0,0,0,Busanan ONGBAMRUNGPHAN,2,長球,0,0,1.0,5,830.0,592.0,1.0,4,757.0,320.0,,,Busanan ONGBAMRUNGPHAN,,8,0.2645676171174514,1.2062435511184155,9,-0.6723333113473917,-1.3859128539744094,0,1,58,2973,0.8421052631578947,0,True,0,0.0,0
16,00:06:56,12498.0,0,0,Mia BLICHFELDT,2,切球,0,0,1.0,4,757.0,320.0,2.0,6,445.0,516.0,,,Busanan ONGBAMRUNGPHAN,,8,0.6828863451772195,-1.2942701916630857,8,0.4044099353662009,1.2732783135574384,0,1,58,2973,0.8947368421052632,1,True,0,0.0,0
17,00:06:57,12520.0,0,0,Busanan ONGBAMRUNGPHAN,2,網前球,0,1,2.0,6,445.0,516.0,1.0,1,476.0,395.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.7836442947447563,0.8734928519223798,8,0.7183799887217233,-1.3499468749862256,0,1,58,2973,0.9473684210526316,0,True,0,0.0,0
18,00:06:58,12551.0,0,0,Mia BLICHFELDT,3,推撲球,0,0,1.0,1,476.0,395.0,2.0,7,580.0,417.0,掛網,對手掛網,Busanan ONGBAMRUNGPHAN,,7,-0.8397855647656787,-0.3874884848376509,8,-0.4366232998605928,0.9319121143229392,0,1,58,2973,1.0,1,True,0,0.0,0
1,00:07:24,13348.0,0,1,Busanan ONGBAMRUNGPHAN,1,發長球,0,0,2.0,7,,,1.0,4,788.0,317.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.0645734352969057,1.0679502362645164,8,0.7154820881966335,-1.103648341510969,0,1,58,2974,0.0,0,True,0,-1.0,-1
2,00:07:26,13409.0,0,1,Mia BLICHFELDT,2,殺球,0,0,1.0,4,788.0,317.0,2.0,8,790.0,556.0,,,Busanan ONGBAMRUNGPHAN,,4,1.0220337854835972,-1.4620100093723245,8,0.2146050869417357,1.344772306961536,0,1,58,2974,0.2222222222222222,1,True,0,-1.0,-1
3,00:07:27,13432.0,0,1,Busanan ONGBAMRUNGPHAN,2,接殺防守,0,0,2.0,8,790.0,556.0,1.0,6,796.0,347.0,,,Busanan ONGBAMRUNGPHAN,,8,0.4046087349275208,1.0622684472590993,9,0.4910995404346195,-1.379405914444786,0,1,58,2974,0.3333333333333333,0,True,0,-1.0,-1
4,00:07:28,13449.0,0,1,Mia BLICHFELDT,2,殺球,1,0,1.0,6,796.0,347.0,2.0,8,658.0,572.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.0438406419053177,-0.9505694788420056,8,0.329431356291173,1.1690586779877403,0,1,58,2974,0.4444444444444444,1,True,0,-1.0,-1
