ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,win_prob,rally
1,00:07:09,12895.0,0,0,Michelle LI,1,發長球,0,0,2.0,8,,,1.0,9,570.0,312.0,,,Michelle LI,,9,0.1849376352510163,1.043666934991813,9,-0.6631131149717492,-1.1136874977680498,0,1,62,3287,0.0,1,True,1,0.0,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0953610464930534,1
2,00:07:11,12959.0,0,0,TAI Tzu Ying,3,長球,0,0,1.0,10,570.0,312.0,2.0,10,955.0,635.0,出界,對手出界,Michelle LI,,0,-0.4934195373369217,-1.6808772680378004,9,-0.0270298931274981,0.963951729784112,0,1,62,3287,1.0,0,True,1,0.0,0,0.5214686989784241,0.4785313606262207,,,,,,,,,,,,,,,,,,,,,,,,,,0.0996768400073051,1
1,00:07:24,13329.0,0,1,Michelle LI,1,發長球,0,0,2.0,8,,,1.0,9,721.0,311.0,,,Michelle LI,,9,-0.0680079452912402,1.01136642624864,9,0.6211950743481617,-1.1235922784304486,0,1,62,3288,0.0,1,True,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.1190285757184028,2
2,00:07:26,13391.0,0,1,TAI Tzu Ying,2,切球,0,0,1.0,10,721.0,311.0,2.0,2,463.0,489.0,,,Michelle LI,,10,0.6689308675229785,-1.6032122252153214,9,0.3173880757041715,1.106051688050952,0,1,62,3288,0.2857142857142857,0,True,1,1.0,1,0.5188050866127014,0.4811948835849762,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.1251843869686126,2
3,00:07:27,13418.0,0,1,Michelle LI,2,網前球,0,1,2.0,3,463.0,489.0,2.0,7,583.0,413.0,,,Michelle LI,,9,-0.7310293649557327,0.7560763426274383,10,0.3070526325552549,-1.429178164866343,0,1,62,3288,0.4285714285714285,1,True,1,1.0,1,0.536257266998291,0.2976180016994476,0.1661247164011001,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.108436495065689,2
4,00:07:28,13446.0,0,1,TAI Tzu Ying,2,網前球,0,0,2.0,8,583.0,413.0,2.0,7,633.0,449.0,,,Michelle LI,,8,-0.2166612154080511,-0.5248198056525997,9,-0.3963144637103782,0.840819551007387,0,1,62,3288,0.5714285714285714,0,True,1,1.0,1,0.3872730433940887,0.2149330675601959,0.1242904514074325,0.2735035121440887,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.1883968710899353,2
5,00:07:29,13475.0,0,1,Michelle LI,2,挑球,0,1,2.0,8,633.0,449.0,1.0,4,778.0,312.0,,,Michelle LI,,8,0.0205246125535948,0.5321561902398333,9,-0.1050392491532464,-0.7650659959983104,0,1,62,3288,0.7142857142857143,1,True,1,1.0,1,0.3853355050086975,0.2138577550649643,0.1236686259508133,0.1303343176841735,0.1468038111925125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.1712309867143631,2
6,00:07:30,13519.0,0,1,TAI Tzu Ying,2,長球,1,0,1.0,5,778.0,312.0,1.0,5,846.0,612.0,,,Michelle LI,,10,0.5001758170766809,-1.4718218169321204,9,0.386169162777718,0.9010305484673116,0,1,62,3288,0.8571428571428571,0,True,1,1.0,1,0.2448555827140808,0.1358926594257354,0.0785833522677421,0.0828189626336097,0.1234754994511604,0.3343739509582519,0.0,,,,,,,,,,,,,,,,,,,,,0.3408700823783874,2
7,00:07:31,13550.0,0,1,Michelle LI,3,切球,0,0,1.0,6,846.0,612.0,2.0,5,449.0,379.0,對手落地致勝,落地致勝,Michelle LI,,9,0.7455124207257251,1.4502812050739256,9,0.2784893195746362,-1.2605632436216674,0,1,62,3288,1.0,1,True,1,1.0,1,0.2166895419359207,0.1202607527375221,0.0695438086986541,0.0732921957969665,0.1092719584703445,0.1645780503749847,0.2463637888431549,,,,,,,,,,,,,,,,,,,,,0.2581604719161987,2
1,00:07:47,14011.0,0,2,Michelle LI,1,發長球,0,0,2.0,8,,,1.0,9,544.0,309.0,,,TAI Tzu Ying,,9,0.2145257819607281,1.0359635608788806,9,-0.6188966939863472,-1.140366484026044,0,1,62,3289,0.0,1,True,0,2.0,2,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1476116627454757,3
