ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:29,11678.0,0,0,Carolina MARIN,1,發短球,0,1,2.0,7,,,2.0,5,512.0,379.0,,,Neslihan YIGIT,,8,0.0723948869531684,0.8365117622250041,8,-0.5894735289012877,-1.069990866453324,0,1,73,4107,0.0,0,True,1,0.0,0
2,00:06:30,11702.0,0,0,Neslihan YIGIT,2,網前球,0,0,2.0,5,512.0,379.0,2.0,1,804.0,483.0,,,Neslihan YIGIT,,8,-0.5743102748797896,-0.6837154600236651,8,0.2120606805083211,1.0338227654237102,0,1,73,4107,0.5,1,True,1,0.0,0
3,00:06:31,11732.0,0,0,Carolina MARIN,3,網前球,0,1,2.0,1,804.0,483.0,2.0,1,802.0,456.0,掛網,對手掛網,Neslihan YIGIT,,7,0.7813753092110605,0.5709505663096616,8,0.1516601383979954,-0.774859774782937,0,1,73,4107,1.0,0,True,1,0.0,0
1,00:06:47,12210.0,0,1,Neslihan YIGIT,1,發短球,0,1,2.0,7,,,2.0,7,602.0,505.0,,,Carolina MARIN,,8,0.0551806642698097,-0.8250077725618281,8,-0.3262243793047839,0.8122762032849783,0,1,73,4108,0.0,1,True,0,1.0,1
2,00:06:47,12235.0,0,1,Carolina MARIN,2,推撲球,0,1,2.0,7,602.0,505.0,2.0,3,503.0,316.0,,,Carolina MARIN,,7,-0.4165836765628765,0.5932276560981157,8,0.1351550688692845,-0.699821776816235,0,1,73,4108,0.0,0,True,0,1.0,1
3,00:06:48,12266.0,0,1,Neslihan YIGIT,2,長球,0,0,2.0,3,503.0,316.0,1.0,6,399.0,590.0,,,Carolina MARIN,,9,-0.4115841195042757,-1.4634671002075113,8,-0.0500164308028569,0.9370777954710494,0,1,73,4108,0.1428571428571428,1,True,0,1.0,1
4,00:06:49,12295.0,0,1,Carolina MARIN,2,長球,0,0,1.0,6,399.0,590.0,1.0,4,772.0,327.0,,,Carolina MARIN,,8,-0.8087275393907283,1.2237882589265283,8,-0.3163448751267584,-1.2218953907183268,0,1,73,4108,0.2857142857142857,0,True,0,1.0,1
5,00:06:50,12329.0,0,1,Neslihan YIGIT,2,切球,1,0,1.0,4,772.0,327.0,2.0,1,820.0,480.0,,,Carolina MARIN,,8,0.3777319584640273,-1.143407726405502,8,-0.1376563932785379,1.168478951874843,0,1,73,4108,0.4285714285714285,1,True,0,1.0,1
6,00:06:51,12355.0,0,1,Carolina MARIN,2,網前球,0,1,2.0,1,820.0,480.0,2.0,2,798.0,413.0,,,Carolina MARIN,,7,0.8479445166357233,0.651699334358043,8,0.5578613045667761,-1.283117293249707,0,1,73,4108,0.5714285714285714,0,True,0,1.0,1
7,00:06:52,12383.0,0,1,Neslihan YIGIT,2,推撲球,0,1,2.0,2,798.0,413.0,1.0,8,486.0,578.0,,,Carolina MARIN,,7,0.8546014507243892,-0.3580391908291022,8,0.4529777586010018,0.7322552760030175,0,1,73,4108,0.7142857142857143,1,True,0,1.0,1
8,00:06:53,12411.0,0,1,Carolina MARIN,2,殺球,0,0,1.0,8,486.0,578.0,2.0,8,609.0,370.0,,,Carolina MARIN,,8,-0.4495341242527568,1.3275881332479642,8,0.185349208524351,-0.6385782129479883,0,1,73,4108,0.8571428571428571,0,True,0,1.0,1
