ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,win_prob,rally
1,00:07:05,12771.0,0,0,Ratchanok INTANON,1,發長球,0,0,2.0,8,,,1.0,9,552.0,307.0,,,Ratchanok INTANON,,9,0.2796970807190704,0.770188093867955,9,-0.5631423255552885,-1.235091456939865,0,1,57,2898,0.0,1,True,1,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3842846155166626,1
2,00:07:07,12835.0,0,0,An Se Young,2,殺球,0,0,1.0,10,552.0,307.0,2.0,6,487.0,530.0,,,Ratchanok INTANON,,10,-0.4728802826775115,-1.5909573191755104,9,0.113938315018384,0.8612547892022538,0,1,57,2898,0.1538461538461538,0,True,1,0.0,0,0.51509028673172,0.4849096834659576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3918094933032989,1
3,00:07:08,12852.0,0,0,Ratchanok INTANON,2,平球,0,1,2.0,7,487.0,530.0,2.0,8,761.0,381.0,,,Ratchanok INTANON,,9,0.0472273564804589,1.0842597774707468,9,-0.3401904256306609,-1.11215471268847,0,1,57,2898,0.2307692307692307,1,True,1,0.0,0,0.3385218977928161,0.3432762622833252,0.3182018101215362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286924600601196,1
4,00:07:09,12884.0,0,0,An Se Young,2,網前球,0,1,2.0,9,761.0,381.0,2.0,7,606.0,483.0,,,Ratchanok INTANON,,8,0.5381534442396612,-0.5088221147787463,9,0.2435947232689373,0.9591117070739492,0,1,57,2898,0.3076923076923077,0,True,1,0.0,0,0.2959076464176178,0.3000635206699371,0.2189865410327911,0.1850422471761703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4771573543548584,1
5,00:07:10,12907.0,0,0,Ratchanok INTANON,2,挑球,0,1,2.0,8,606.0,483.0,1.0,3,508.0,309.0,,,Ratchanok INTANON,,8,0.2172693903562184,0.5794408552115039,9,0.1320742356944564,-0.7628669091685637,0,1,57,2898,0.3846153846153846,1,True,1,0.0,0,0.2177679985761642,0.2208264321088791,0.1611592769622802,0.148518905043602,0.251727432012558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5195556282997131,1
6,00:07:11,12949.0,0,0,An Se Young,2,切球,0,0,1.0,4,508.0,309.0,2.0,7,559.0,502.0,,,Ratchanok INTANON,,10,-0.8060127308306743,-1.519140161863189,9,-0.1017455809159173,0.9257219671239282,0,1,57,2898,0.4615384615384615,0,True,1,0.0,0,0.1781379282474517,0.180639773607254,0.1318310350179672,0.1214909851551055,0.1979539692401886,0.1899463832378387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5660421252250671,1
7,00:07:12,12975.0,0,0,Ratchanok INTANON,2,推撲球,0,1,2.0,8,559.0,502.0,1.0,8,749.0,329.0,,,Ratchanok INTANON,,9,-0.2435086281336323,0.8102590035652355,9,-0.3609316466143794,-1.0590977468383798,0,1,57,2898,0.5384615384615384,1,True,1,0.0,0,0.1350154727697372,0.1369116902351379,0.0999182388186454,0.0920812413096427,0.150034561753273,0.1512888371944427,0.2347499430179596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6037563681602478,1
8,00:07:13,12995.0,0,0,An Se Young,2,殺球,1,0,1.0,9,749.0,329.0,2.0,5,827.0,521.0,,,Ratchanok INTANON,,9,0.4388801406421407,-1.18942155347192,9,0.2773228836703485,1.014832902912436,0,1,57,2898,0.6153846153846154,0,True,1,0.0,0,0.1194678917527198,0.1211457476019859,0.0884122475981712,0.0814777091145515,0.1327574700117111,0.1338673382997512,0.1918094754219055,0.1310621052980423,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6515047550201416,1
9,00:07:13,13009.0,0,0,Ratchanok INTANON,2,網前球,0,0,2.0,6,827.0,521.0,2.0,5,492.0,381.0,,,Ratchanok INTANON,,9,0.7724269557260872,1.0165581499848482,9,0.5680213111738909,-1.0153878926336473,0,1,57,2898,0.6153846153846154,1,True,1,0.0,0,0.1090471372008323,0.110578641295433,0.0807003676891326,0.0743707045912742,0.1211775168776512,0.1221905648708343,0.1750786304473877,0.1180011481046676,0.0888552814722061,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6627141833305359,1
10,00:07:14,13037.0,0,0,An Se Young,2,網前球,0,0,2.0,6,492.0,381.0,2.0,2,443.0,482.0,,,Ratchanok INTANON,,9,-0.7011032992239175,-0.6565878692561959,9,0.0476931353155702,0.8445235436058844,0,1,57,2898,0.6923076923076923,0,True,1,0.0,0,0.1011977642774581,0.1026190221309661,0.0748914331197738,0.0690173879265785,0.1124549806118011,0.1133951023221015,0.1624761968851089,0.1095072478055954,0.0808708295226097,0.0735700204968452,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6733093857765198,1
11,00:07:15,13067.0,0,0,Ratchanok INTANON,2,推撲球,0,1,2.0,3,443.0,482.0,1.0,3,457.0,309.0,,,Ratchanok INTANON,,8,-0.848780508833639,0.5127114273908102,9,-0.4561236292422491,-0.5837197961321229,0,1,57,2898,0.7692307692307693,1,True,1,0.0,0,0.0881048291921615,0.0893422067165374,0.0652020052075386,0.0600879415869712,0.0979055911302566,0.0987240821123123,0.1414550840854644,0.0953392386436462,0.0704077929258346,0.0665205270051956,0.1269107162952423,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6613931059837341,1
12,00:07:16,13100.0,0,0,An Se Young,2,平球,0,0,1.0,4,457.0,309.0,1.0,6,416.0,551.0,,,Ratchanok INTANON,,4,-0.9639083129546356,-1.4189365044754936,9,-0.3264019596399785,0.8514445885633565,0,1,57,2898,0.8461538461538461,0,True,1,0.0,0,0.0746164321899414,0.0756643787026405,0.0552199184894561,0.0508887879550457,0.0829167515039444,0.0836099311709404,0.1197990402579307,0.0807432830333709,0.0596287213265895,0.0563365779817104,0.0957445800304412,0.164831668138504,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6454900503158569,1
13,00:07:17,13115.0,0,0,Ratchanok INTANON,2,切球,0,1,1.0,7,416.0,551.0,2.0,1,461.0,402.0,,,Ratchanok INTANON,,9,-0.3352002591562725,1.028430249658791,9,-0.8160904703856635,-1.277642533972328,0,1,57,2898,0.9230769230769232,1,True,1,0.0,0,0.052835751324892,0.0535778030753135,0.0391011163592338,0.0360342562198638,0.0587131939828395,0.0592040345072746,0.0848294720053672,0.0571741722524166,0.0422229804098606,0.0398918241262435,0.0677965506911277,0.1198512092232704,0.2887676060199737,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4166125953197479,1
14,00:07:18,13145.0,0,0,An Se Young,3,挑球,0,0,2.0,2,461.0,402.0,2.0,10,405.0,660.0,出界,對手出界,Ratchanok INTANON,,2,-0.931958448125896,-0.5034851859134184,9,-0.2626583940831632,0.9332257458500214,0,1,57,2898,1.0,0,True,1,0.0,0,0.0429625213146209,0.0435659065842628,0.0317944251000881,0.029300658032298,0.047741662710905,0.0481407828629016,0.0689776837825775,0.0464902333915233,0.0343329235911369,0.0324373766779899,0.0551276430487632,0.0974550321698188,0.2222292870283126,0.1994439512491226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3964623510837555,1
1,00:07:34,13637.0,0,1,Ratchanok INTANON,1,發長球,0,0,2.0,8,,,1.0,9,680.0,309.0,,,An Se Young,,9,-0.0782402734381437,0.9014808941676614,9,0.6885515925428892,-1.2155274211050808,0,1,57,2899,0.0,1,True,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3694276511669159,2
2,00:07:36,13699.0,0,1,An Se Young,2,切球,0,0,1.0,10,680.0,309.0,2.0,7,662.0,487.0,,,An Se Young,,10,0.3964228956509406,-1.4987757593626354,9,0.2693149774134474,1.0772923862526422,0,1,57,2899,0.1538461538461538,0,True,0,1.0,1,0.5129492282867432,0.4870507717132568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3801413774490356,2
3,00:07:37,13722.0,0,1,Ratchanok INTANON,2,挑球,0,0,2.0,8,662.0,487.0,1.0,9,550.0,312.0,,,An Se Young,,9,-0.0857280975776485,0.8108259459041118,9,0.1457533013706283,-1.2869752776959562,0,1,57,2899,0.2307692307692307,1,True,0,1.0,1,0.3599286377429962,0.3505888879299164,0.289482444524765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3968815505504608,2
4,00:07:38,13753.0,0,1,An Se Young,2,殺球,0,0,1.0,10,550.0,312.0,2.0,6,463.0,541.0,,,An Se Young,,10,-0.2910632548733759,-1.4731292104811302,9,0.0179483829665763,1.0453164422225896,0,1,57,2899,0.3076923076923077,0,True,0,1.0,1,0.290006548166275,0.2824811935424804,0.2423578202724456,0.1851544678211212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4260880649089813,2
5,00:07:38,13768.0,0,1,Ratchanok INTANON,2,接殺防守,0,1,2.0,7,463.0,541.0,2.0,5,465.0,386.0,,,An Se Young,,9,0.076465480181202,1.0766268373659642,9,-0.4719619765538401,-1.2760215901950518,0,1,57,2899,0.3076923076923077,1,True,0,1.0,1,0.2256608009338379,0.2198051363229751,0.1885842084884643,0.1536889970302581,0.2122608125209808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4688524603843689,2
6,00:07:39,13792.0,0,1,An Se Young,2,網前球,0,0,2.0,6,465.0,386.0,2.0,2,463.0,477.0,,,An Se Young,,6,-0.9444634445920682,-0.5503743018106025,9,-0.2475384522987117,1.013003963232051,0,1,57,2899,0.3846153846153846,0,True,0,1.0,1,0.1816326528787613,0.176919475197792,0.1517900079488754,0.1237030997872352,0.1712108552455902,0.1947439461946487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5330129861831665,2
7,00:07:40,13823.0,0,1,Ratchanok INTANON,2,挑球,0,1,2.0,3,463.0,477.0,1.0,3,494.0,310.0,,,An Se Young,,8,-0.7899180104912984,0.5309721872646863,9,-0.5282322370543651,-0.6921800346615727,0,1,57,2899,0.4615384615384615,1,True,0,1.0,1,0.1357433050870895,0.132220908999443,0.1134403795003891,0.0924496129155159,0.1279545724391937,0.1541689783334732,0.2440222352743148,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5767772197723389,2
8,00:07:42,13878.0,0,1,An Se Young,2,切球,0,0,1.0,4,494.0,310.0,2.0,1,799.0,492.0,,,An Se Young,,10,-0.6504199849260147,-1.4748599916422755,9,0.0056108826668736,0.893633487783117,0,1,57,2899,0.6153846153846154,0,True,0,1.0,1,0.1189423501491546,0.1158559247851371,0.0993998572230339,0.0810071155428886,0.1121176332235336,0.1350874453783035,0.2052671611309051,0.1323224753141403,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6187512874603271,2
9,00:07:43,13898.0,0,1,Ratchanok INTANON,2,網前球,0,0,2.0,2,799.0,492.0,2.0,2,834.0,397.0,,,An Se Young,,9,0.7282848522905789,0.8634459164092121,9,-0.2612932284805656,-1.2888956070588544,0,1,57,2899,0.6923076923076923,1,True,0,1.0,1,0.107462078332901,0.1046735495328903,0.089805819094181,0.0731883347034454,0.1012960746884346,0.1220488548278808,0.1854548454284668,0.1189493909478187,0.0971210226416587,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6288183927536011,2
10,00:07:44,13935.0,0,1,An Se Young,2,挑球,0,1,2.0,3,834.0,397.0,1.0,3,838.0,640.0,,,An Se Young,,3,0.9603882687740374,-0.3692804194165922,9,0.4622052623964133,0.7792762250460346,0,1,57,2899,0.7692307692307693,0,True,0,1.0,1,0.1016290262341499,0.0989918559789657,0.0849311426281929,0.0692156627774238,0.0957977101206779,0.1154240295290947,0.1753883361816406,0.1124927997589111,0.074725218117237,0.0714042708277702,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6459683775901794,2
