ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:31,11754.0,0,0,Anders ANTONSEN,1,發長球,0,1,2.0,7,,,1.0,3,829.0,634.0,,,Anders ANTONSEN,,8,-0.015703128700912,-0.6866497935973941,8,0.6730811373687897,1.0526747343289171,0,1,72,3991,0.0,0,True,0,0.0,0
2,00:06:32,11788.0,0,0,Sameer VERMA,2,殺球,0,0,1.0,3,829.0,634.0,2.0,6,779.0,363.0,,,Anders ANTONSEN,,9,0.8518559220743429,1.5351795484047628,8,0.0007592949323395,-0.9659143424505872,0,1,72,3991,0.25,1,True,0,0.0,0
3,00:06:34,11825.0,0,0,Anders ANTONSEN,2,接殺防守,0,1,2.0,6,779.0,363.0,2.0,1,782.0,482.0,,,Anders ANTONSEN,,8,0.2263729019906601,-0.8637962231397335,8,0.7865749285047877,1.47943527696489,0,1,72,3991,0.75,0,True,0,0.0,0
4,00:06:34,11830.0,0,0,Sameer VERMA,2,網前球,0,0,2.0,1,782.0,482.0,2.0,2,808.0,421.0,,,Anders ANTONSEN,,8,0.6337635334427578,0.701813519202871,8,0.1377564922929016,-0.9537153346928662,0,1,72,3991,0.75,1,True,0,0.0,0
5,00:06:35,11854.0,0,0,Anders ANTONSEN,2,網前球,0,1,2.0,2,808.0,421.0,2.0,7,553.0,467.0,,,Anders ANTONSEN,,2,1.0804569431090334,-0.5238977028026245,8,0.4843996477785664,0.7804371243199052,0,1,72,3991,1.0,0,True,0,0.0,0
6,00:06:35,11879.0,0,0,Sameer VERMA,3,挑球,0,1,2.0,7,553.0,467.0,2.0,10,760.0,299.0,出界,對手出界,Anders ANTONSEN,,7,-0.3286454754870196,0.4893236770649866,8,0.2711798275281466,-0.8512931726648197,0,1,72,3991,1.0,1,True,0,0.0,0
1,00:07:25,13362.0,2,0,Anders ANTONSEN,1,發短球,0,1,2.0,7,,,2.0,7,698.0,483.0,,,Anders ANTONSEN,,8,-0.0230953046946173,-0.6866059072052192,8,0.6727897924959769,0.9964688496996654,0,1,72,3993,0.0,0,True,0,-2.0,-1
2,00:07:26,13385.0,2,0,Sameer VERMA,2,網前球,0,0,2.0,7,698.0,483.0,2.0,7,516.0,427.0,,,Anders ANTONSEN,,7,0.3448382989939977,0.6142478736998598,8,0.0819185677267892,-0.7867701103297939,0,1,72,3993,0.1428571428571428,1,True,0,-2.0,-1
3,00:07:27,13411.0,2,0,Anders ANTONSEN,2,挑球,0,0,2.0,7,516.0,427.0,1.0,9,516.0,634.0,,,Anders ANTONSEN,,7,-0.5302649805861722,-0.502942169798942,8,0.0032646491414931,0.6954291981488332,0,1,72,3993,0.2857142857142857,0,True,0,-2.0,-1
4,00:07:28,13446.0,2,0,Sameer VERMA,2,長球,0,0,1.0,9,516.0,634.0,1.0,9,731.0,315.0,,,Anders ANTONSEN,,8,-0.3457865712465099,1.432747552324117,8,-0.1834664492732865,-1.057250598615223,0,1,72,3993,0.4285714285714285,1,True,0,-2.0,-1
