ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:55,12474.0,0,0,Supanida KATETHONG,1,發短球,0,0,2.0,7,,,2.0,7,716.0,498.0,,,Supanida KATETHONG,,8,-0.037268333833352,-0.8856087715915747,8,0.6690138096018369,1.0923390612071078,0,1,63,3353,0.0,1,True,1,0.0,0
2,00:06:56,12493.0,0,0,Carolina MARIN,2,挑球,0,1,2.0,7,716.0,498.0,1.0,9,526.0,317.0,,,Supanida KATETHONG,,8,0.3959332605467988,0.6809946545766566,8,0.1885915166867174,-0.9513542667753114,0,1,63,3353,0.25,0,True,1,0.0,0
3,00:06:57,12520.0,0,0,Supanida KATETHONG,2,長球,1,0,1.0,9,526.0,317.0,1.0,9,776.0,634.0,,,Supanida KATETHONG,,8,-0.2462714051268002,-1.295834032912088,8,0.3246368748331317,0.9666736002950688,0,1,63,3353,0.5,1,True,1,0.0,0
4,00:06:58,12552.0,0,0,Carolina MARIN,2,長球,1,0,1.0,9,776.0,634.0,1.0,9,543.0,321.0,,,Supanida KATETHONG,,8,0.2210720575732544,1.4354283956560163,8,-0.0975130954099612,-1.0799268724579507,0,1,63,3353,0.75,0,True,1,0.0,0
5,00:06:59,12581.0,0,0,Supanida KATETHONG,3,切球,1,0,1.0,9,543.0,321.0,2.0,7,749.0,453.0,對手落地致勝,落地致勝,Supanida KATETHONG,,8,-0.2668205102298105,-1.1588236313422258,8,0.0215237371845933,1.3718662766859004,0,1,63,3353,1.0,1,True,1,0.0,0
1,00:07:13,13009.0,0,1,Supanida KATETHONG,1,發長球,0,0,2.0,7,,,1.0,8,521.0,608.0,,,Carolina MARIN,,8,0.1927668423625094,-0.8367402815122006,8,-0.4481043621558307,1.088732475473127,0,1,63,3354,0.0,1,True,0,1.0,1
2,00:07:14,13036.0,0,1,Carolina MARIN,2,長球,0,0,1.0,8,521.0,608.0,1.0,4,769.0,322.0,,,Carolina MARIN,,8,-0.4461826876306861,1.2339436032616888,8,0.228323172253722,-1.0166154874974882,0,1,63,3354,0.5,0,True,0,1.0,1
3,00:07:15,13067.0,0,1,Supanida KATETHONG,3,殺球,0,0,1.0,4,769.0,322.0,2.0,10,933.0,553.0,出界,對手出界,Carolina MARIN,,6,0.9286527601894592,-1.3335034768299845,8,-0.1196825446251519,1.2552103761778362,0,1,63,3354,1.0,1,True,0,1.0,1
1,00:08:22,15071.0,3,1,Carolina MARIN,1,發長球,0,1,2.0,7,,,1.0,9,708.0,319.0,,,Carolina MARIN,,8,-0.0138266839641001,0.8698681489848928,8,0.5771472453713465,-1.019324491887524,0,1,63,3357,0.0,0,True,0,-2.0,-1
2,00:08:23,15098.0,3,1,Supanida KATETHONG,2,殺球,0,0,1.0,9,708.0,319.0,2.0,6,469.0,549.0,,,Carolina MARIN,,8,0.8109653898965238,-1.2492894363553315,8,-0.1385886994213742,1.0640718769278183,0,1,63,3357,0.2,1,True,0,-2.0,-1
3,00:08:23,15112.0,3,1,Carolina MARIN,2,接殺防守,0,0,2.0,6,469.0,549.0,2.0,8,543.0,374.0,,,Carolina MARIN,,8,-0.3033120966090739,1.0489539031722857,4,0.9692200052610744,-1.4185712568155082,0,1,63,3357,0.2,0,True,0,-2.0,-1
4,00:08:24,15137.0,3,1,Supanida KATETHONG,2,網前球,0,1,2.0,8,543.0,374.0,2.0,2,480.0,479.0,,,Carolina MARIN,,8,-0.4649468385182729,-0.7694713995605967,8,-0.6647506733112515,1.010700941770402,0,1,63,3357,0.4,1,True,0,-2.0,-1
5,00:08:25,15164.0,3,1,Carolina MARIN,2,挑球,0,0,2.0,2,480.0,479.0,1.0,3,475.0,317.0,,,Carolina MARIN,,7,-0.6050596870926304,0.5974462606899209,8,-0.1270616071136583,-0.9232309799276012,0,1,63,3357,0.6,0,True,0,-2.0,-1
6,00:08:26,15202.0,3,1,Supanida KATETHONG,2,長球,1,0,1.0,3,475.0,317.0,1.0,9,516.0,624.0,,,Carolina MARIN,,9,-0.6905847527350948,-1.4186531720339477,8,-0.3778431728933813,0.9533101369372556,0,1,63,3357,0.8,1,True,0,-2.0,-1
7,00:08:27,15234.0,3,1,Carolina MARIN,3,切球,0,0,1.0,9,516.0,624.0,2.0,6,814.0,384.0,對手落地致勝,落地致勝,Carolina MARIN,,8,-0.5444272498413548,1.4659100699399268,8,-0.4209431896637887,-1.171086635889323,0,1,63,3357,1.0,0,True,0,-2.0,-1
1,00:08:47,15818.0,4,1,Carolina MARIN,1,發短球,0,1,2.0,7,,,2.0,1,499.0,397.0,,,Supanida KATETHONG,,8,0.0701001866200347,0.8943083655701388,8,-0.6077307757425637,-1.075900469364237,0,1,63,3358,0.0,0,True,1,-3.0,-2
2,00:08:48,15842.0,4,1,Supanida KATETHONG,2,挑球,0,1,2.0,1,499.0,397.0,1.0,8,500.0,593.0,,,Supanida KATETHONG,,7,-0.6218696522940319,-0.4573822795126183,8,-0.0151717341555872,1.0399453315109934,0,1,63,3358,0.125,1,True,1,-3.0,-2
3,00:08:48,15864.0,4,1,Carolina MARIN,2,殺球,0,0,1.0,8,500.0,593.0,2.0,5,488.0,349.0,,,Supanida KATETHONG,,8,-0.3603412016409794,1.2336443836203983,8,-0.2949905924029918,-0.7459904941618601,0,1,63,3358,0.125,0,True,1,-3.0,-2
4,00:08:49,15877.0,4,1,Supanida KATETHONG,2,接殺防守,0,1,2.0,5,488.0,349.0,2.0,7,506.0,482.0,,,Supanida KATETHONG,,8,0.1650220486958744,-0.912640243135883,6,-0.8718986064955704,1.5016975393244156,0,1,63,3358,0.25,1,True,1,-3.0,-2
5,00:08:50,15905.0,4,1,Carolina MARIN,2,網前球,0,0,2.0,7,506.0,482.0,2.0,1,490.0,390.0,,,Supanida KATETHONG,,7,-0.5931887962317748,0.5884684031404586,8,-0.1874889367893387,-0.9613883091733711,0,1,63,3358,0.375,0,True,1,-3.0,-2
6,00:08:51,15935.0,4,1,Supanida KATETHONG,2,網前球,0,1,2.0,1,490.0,390.0,2.0,2,488.0,460.0,,,Supanida KATETHONG,,7,-0.6827317286948802,-0.5150829428214578,8,-0.2932138500367091,0.7956997773066133,0,1,63,3358,0.5,1,True,1,-3.0,-2
7,00:08:52,15964.0,4,1,Carolina MARIN,2,網前球,0,0,2.0,2,488.0,460.0,2.0,1,462.0,433.0,,,Supanida KATETHONG,,2,-0.873520748870728,0.3503913028509675,8,-0.2666782457099037,-0.7957801703962675,0,1,63,3358,0.625,0,True,1,-3.0,-2
8,00:08:52,15988.0,4,1,Supanida KATETHONG,2,挑球,0,1,2.0,1,462.0,433.0,1.0,3,880.0,622.0,,,Supanida KATETHONG,,7,-0.8387851741191797,-0.1875041878990012,7,-0.8015335740725507,0.4991053248847343,0,1,63,3358,0.625,1,True,1,-3.0,-2
9,00:08:54,16033.0,4,1,Carolina MARIN,2,殺球,1,0,1.0,3,880.0,622.0,2.0,6,813.0,342.0,,,Supanida KATETHONG,,8,0.6845977156153742,1.4761696424487372,8,0.2535688033352913,-0.8750920758127801,0,1,63,3358,0.875,0,True,1,-3.0,-2
10,00:08:55,16052.0,4,1,Supanida KATETHONG,2,接殺防守,0,0,2.0,6,813.0,342.0,2.0,5,879.0,565.0,,,Supanida KATETHONG,,8,0.7997661950420231,-1.0473228960898278,8,0.8316047406054985,1.454697178545746,0,1,63,3358,1.0,1,True,1,-3.0,-2
11,00:08:55,16073.0,4,1,Carolina MARIN,3,挑球,0,1,2.0,5,879.0,565.0,2.0,10,841.0,301.0,出界,對手出界,Supanida KATETHONG,,8,0.6580940014109655,1.0845703366961128,8,0.5789909033369205,-1.0455973019618885,0,1,63,3358,1.0,0,True,1,-3.0,-2
1,00:09:16,16683.0,4,2,Supanida KATETHONG,1,發短球,0,0,2.0,7,,,2.0,7,717.0,500.0,,,Carolina MARIN,,8,-0.0296258679368088,-0.9239708530842456,8,0.6436313468344543,1.0532155933792045,0,1,63,3359,0.0,1,True,0,-2.0,1
2,00:09:16,16705.0,4,2,Carolina MARIN,2,網前球,0,1,2.0,7,717.0,500.0,2.0,2,776.0,397.0,,,Carolina MARIN,,8,0.0618380648620798,0.6825089625624793,8,0.2119618240864391,-0.9774053279313488,0,1,63,3359,0.0,0,True,0,-2.0,1
