ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,win_prob,rally
1,00:00:08,259.0,0,0,CHEN Yufei,1,發長球,0,0,2.0,8,,,1.0,9,688.0,700.0,,,CHEN Yufei,,9,-0.180375855573139,-0.5877253947844997,9,0.6667233392157492,1.2248283908985254,0,1,26,291,0.0,0,True,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7526284456253052,1
2,00:00:10,321.0,0,0,TAI Tzu Ying,2,長球,0,0,1.0,10,688.0,700.0,1.0,3,489.0,424.0,,,CHEN Yufei,,10,0.5145226667684689,1.6612676375532764,9,-0.1406407216543967,-0.8359237261825992,0,1,26,291,0.5,1,True,0,0.0,0,0.6157654523849487,0.3842345476150512,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4130870401859283,1
3,00:00:12,363.0,0,0,CHEN Yufei,2,切球,0,0,1.0,4,489.0,424.0,2.0,2,412.0,564.0,,,CHEN Yufei,,4,-0.9306425596733156,-1.4461806163955664,9,-0.054744558895392,0.9762895686124652,0,1,26,291,1.0,0,True,0,0.0,0,0.2451919615268707,0.1590167582035064,0.5957912802696228,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.868891179561615,1
4,00:00:12,383.0,0,0,TAI Tzu Ying,3,網前球,0,1,2.0,3,412.0,564.0,2.0,10,868.0,495.0,出界,對手出界,CHEN Yufei,,9,-0.8114777357577629,0.7876546354799027,9,-0.5744957179738306,-1.3609106279118668,0,1,26,291,1.0,1,True,0,0.0,0,0.2709481716156006,0.1757206618785858,0.1689078360795974,0.3844234049320221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2569776773452759,1
1,00:00:24,726.0,1,0,CHEN Yufei,1,發長球,0,0,2.0,8,,,1.0,4,333.0,691.0,,,TAI Tzu Ying,,9,0.1115014219507767,-1.083187010004725,9,-0.6198619445256761,1.129861188958996,0,1,26,292,0.0,0,True,1,-1.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7082353830337524,2
2,00:00:26,788.0,1,0,TAI Tzu Ying,2,殺球,1,0,1.0,5,333.0,691.0,2.0,5,472.0,451.0,,,TAI Tzu Ying,,5,-1.268167341857651,1.5713198042125214,9,-0.2828948082679594,-1.0827451342086374,0,1,26,292,0.1666666666666666,1,True,1,-1.0,-1,0.691121518611908,0.3088784515857696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5875283479690552,2
3,00:00:26,802.0,1,0,CHEN Yufei,2,接殺防守,0,0,2.0,6,472.0,451.0,2.0,7,712.0,571.0,,,TAI Tzu Ying,,9,-0.599631685492918,-0.9724678420238168,7,-1.142332866974553,1.414394097731874,0,1,26,292,0.1666666666666666,0,True,1,-1.0,-1,0.289611667394638,0.1265239268541336,0.5838643908500671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8867501616477966,2
4,00:00:27,831.0,1,0,TAI Tzu Ying,2,推撲球,0,0,2.0,8,712.0,571.0,1.0,6,794.0,446.0,,,TAI Tzu Ying,,9,0.3936751997516243,0.7579697810102868,9,-0.2225320861412126,-1.019760044962006,0,1,26,292,0.25,1,True,1,-1.0,-1,0.2470899522304535,0.1079472601413726,0.3624111711978912,0.2825516164302826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7828013300895691,2
5,00:00:28,851.0,1,0,CHEN Yufei,2,切球,0,1,1.0,7,794.0,446.0,2.0,1,804.0,552.0,,,TAI Tzu Ying,,9,0.4734789994243789,-0.9741050118945402,9,0.4492593483007671,0.7069627886963143,0,1,26,292,0.3333333333333333,0,True,1,-1.0,-1,0.0990580320358276,0.0432759188115596,0.1452901512384414,0.1164152696728706,0.5959606766700745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8322866559028625,2
6,00:00:29,875.0,1,0,TAI Tzu Ying,2,網前球,0,0,2.0,2,804.0,552.0,2.0,6,804.0,492.0,,,TAI Tzu Ying,,2,1.002940460584904,0.4502451409512271,9,0.5694452650755264,-1.131432385087264,0,1,26,292,0.4166666666666667,1,True,1,-1.0,-1,0.1120775416493415,0.0489638000726699,0.1643860936164856,0.1317160874605178,0.2741231620311737,0.2687333226203918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4782582521438598,2
