ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,ball_round48,ball_round49,ball_round50,ball_round51,ball_round52,ball_round53,ball_round54,ball_round55,ball_round56,ball_round57,ball_round58,ball_round59,ball_round60,ball_round61,ball_round62,ball_round63,win_prob,rally
1,00:00:41,1243.0,0,0,Kento MOMOTA,1,發短球,0,1,2.0,8,,,2.0,7,576.0,444.0,,,Kento MOMOTA,,9,0.2311219847477185,0.9289321325969588,9,-0.5089636077071283,-1.0847959064208936,0,1,41,1557,0.0,0,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855498731136322,1
2,00:00:42,1267.0,0,0,WANG Tzu Wei,2,挑球,0,1,2.0,8,576.0,444.0,1.0,3,342.0,640.0,,,Kento MOMOTA,,9,-0.4082021932809581,-0.6656376934523355,9,0.1705195857615463,0.929667873486394,0,1,41,1557,0.0666666666666666,1,True,0,0.0,0,0.3502528369426727,0.6497471928596497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2542077600955963,1
3,00:00:43,1304.0,0,0,Kento MOMOTA,2,切球,0,0,1.0,4,342.0,640.0,2.0,5,491.0,429.0,,,Kento MOMOTA,,9,-0.4945395977580541,1.3856672980188616,9,-0.2802121591036213,-0.8951128773671387,0,1,41,1557,0.1333333333333333,0,True,0,0.0,0,0.4414348304271698,0.122644230723381,0.4359209835529327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7139479517936707,1
4,00:00:44,1325.0,0,0,WANG Tzu Wei,2,推撲球,0,0,2.0,6,491.0,429.0,1.0,4,380.0,646.0,,,Kento MOMOTA,,9,-0.7698478640087106,-0.7658638743460147,9,-0.2973628266640511,1.2471561585778226,0,1,41,1557,0.2,1,True,0,0.0,0,0.1393042802810669,0.0387030281126499,0.136173740029335,0.6858189105987549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3948099613189697,1
5,00:00:45,1358.0,0,0,Kento MOMOTA,2,長球,0,0,1.0,5,380.0,646.0,1.0,3,472.0,377.0,,,Kento MOMOTA,,9,-0.4441329652218764,1.2734449151905811,9,-0.3494076623127867,-0.9893319312031522,0,1,41,1557,0.2666666666666666,0,True,0,0.0,0,0.0752554982900619,0.0209083016961812,0.073564313352108,0.1074021682143211,0.7228696942329407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8517636656761169,1
6,00:00:46,1397.0,0,0,WANG Tzu Wei,2,長球,0,0,1.0,4,472.0,377.0,2.0,4,324.0,645.0,,,Kento MOMOTA,,4,-1.0914263106533812,-1.5109729691275042,9,-0.0492773038460492,1.083783246394716,0,1,41,1557,0.3333333333333333,1,True,0,0.0,0,0.0118716936558485,0.003298323135823,0.0116049060598015,0.0169428903609514,0.0687926113605499,0.8874896168708801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0902941673994064,1
7,00:00:47,1432.0,0,0,Kento MOMOTA,2,切球,0,0,2.0,5,324.0,645.0,2.0,5,491.0,436.0,,,Kento MOMOTA,,9,-0.69591460773439,1.2437670277764483,9,-0.5358328354393773,-1.1174796130732405,0,1,41,1557,0.4,0,True,0,0.0,0,0.0170390252023935,0.0047339675948023,0.0166561156511306,0.0243175365030765,0.0987356156110763,0.4186100959777832,0.4199075698852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6596068739891052,1
8,00:00:48,1454.0,0,0,WANG Tzu Wei,2,推撲球,0,0,2.0,6,491.0,436.0,1.0,6,349.0,632.0,,,Kento MOMOTA,,9,-0.726629732766983,-0.6032011484804896,9,-0.4654008176595893,1.216175370217421,0,1,41,1557,0.4666666666666667,1,True,0,0.0,0,0.012404098175466,0.0034462416078895,0.0121253468096256,0.0177027210593223,0.0718777179718017,0.3047405183315277,0.329377681016922,0.2483256608247757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7579426169395447,1
9,00:00:49,1486.0,0,0,Kento MOMOTA,2,切球,0,0,1.0,7,349.0,632.0,2.0,6,777.0,431.0,,,Kento MOMOTA,,9,-0.5896434735305527,1.225971363714102,9,-0.5059102904726561,-0.9080243972734156,0,1,41,1557,0.5333333333333333,0,True,0,0.0,0,0.0112966233864426,0.0031385510228574,0.0110427597537636,0.0161221697926521,0.0654602646827697,0.2775323688983917,0.2999698519706726,0.117757923901081,0.1976794749498367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7337904572486877,1
10,00:00:50,1512.0,0,0,WANG Tzu Wei,2,推撲球,0,1,2.0,7,777.0,431.0,1.0,4,395.0,640.0,,,Kento MOMOTA,,9,0.6205421044651822,-0.7377188578912296,9,-0.3259649577499507,1.263867002571697,0,1,41,1557,0.6,1,True,0,0.0,0,0.0080912802368402,0.0022480075713247,0.0079094488173723,0.011547609232366,0.0468863397836685,0.1987843662500381,0.21485535800457,0.0843448787927627,0.2863491177558899,0.1389836370944976,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5324304699897766,1
