ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:39,11989.0,0,0,Busanan ONGBAMRUNGPHAN,1,發長球,0,0,2.0,7,,,1.0,9,555.0,315.0,,,Busanan ONGBAMRUNGPHAN,,8,0.2906059163138612,0.9752276145657568,8,-0.3293126383369738,-1.1093559638651975,0,1,58,2973,0.0,1,True,1,0.0,0
2,00:06:41,12054.0,0,0,Mia BLICHFELDT,2,長球,0,0,1.0,9,555.0,315.0,1.0,4,437.0,619.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.6605768897876446,-1.4427695704553642,8,0.0874246519786978,1.1071816865037938,0,1,58,2973,0.1052631578947368,0,True,1,0.0,0
3,00:06:43,12095.0,0,0,Busanan ONGBAMRUNGPHAN,2,切球,1,0,1.0,4,437.0,619.0,2.0,1,446.0,396.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.594720904814327,1.5358940375694032,8,-0.1744671113709201,-1.055491748339603,0,1,58,2973,0.2105263157894736,1,True,1,0.0,0
4,00:06:44,12121.0,0,0,Mia BLICHFELDT,2,網前球,0,0,2.0,1,446.0,396.0,2.0,1,796.0,480.0,,,Busanan ONGBAMRUNGPHAN,,5,-1.1036507663283048,-0.6213337632275199,9,-0.434704897473392,1.5567502212795852,0,1,58,2973,0.2631578947368421,0,True,1,0.0,0
5,00:06:45,12152.0,0,0,Busanan ONGBAMRUNGPHAN,2,挑球,0,0,2.0,1,796.0,480.0,1.0,3,506.0,314.0,,,Busanan ONGBAMRUNGPHAN,,8,0.5989756966146147,0.6778570262921862,8,0.0618859649882605,-0.9499997711914322,0,1,58,2973,0.3157894736842105,1,True,1,0.0,0
6,00:06:46,12186.0,0,0,Mia BLICHFELDT,2,切球,0,0,1.0,3,506.0,314.0,2.0,1,828.0,498.0,,,Busanan ONGBAMRUNGPHAN,,9,-0.5552820374476217,-1.4136325292670513,8,0.1418779866632875,0.9904551881556624,0,1,58,2973,0.3684210526315789,0,True,1,0.0,0
7,00:06:47,12216.0,0,0,Busanan ONGBAMRUNGPHAN,2,挑球,0,0,2.0,1,828.0,498.0,1.0,3,480.0,311.0,,,Busanan ONGBAMRUNGPHAN,,8,0.7541435692362002,0.8558205104039226,8,-0.1620909107800417,-1.2027230015378936,0,1,58,2973,0.4210526315789473,1,True,1,0.0,0
8,00:06:48,12249.0,0,0,Mia BLICHFELDT,2,平球,0,0,1.0,3,480.0,311.0,2.0,6,407.0,557.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.722332045927269,-1.2194393073247995,8,0.1396092775234842,1.1227159544075498,0,1,58,2973,0.4736842105263157,0,True,1,0.0,0
9,00:06:48,12264.0,0,0,Busanan ONGBAMRUNGPHAN,2,接殺防守,0,1,2.0,6,407.0,557.0,1.0,6,789.0,322.0,,,Busanan ONGBAMRUNGPHAN,,8,-0.2314741501133672,1.151492279318428,9,-0.4973568095676886,-1.3708110904402122,0,1,58,2973,0.4736842105263157,1,True,1,0.0,0
10,00:06:49,12294.0,0,0,Mia BLICHFELDT,2,長球,1,0,1.0,6,789.0,322.0,1.0,9,491.0,623.0,,,Busanan ONGBAMRUNGPHAN,,8,0.1230283019639751,-1.014516431907985,8,0.017518169827631,1.1676906049329243,0,1,58,2973,0.5263157894736842,0,True,1,0.0,0
