ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,win_prob,rally
1,00:00:08,259.0,0,0,CHEN Yufei,1,發長球,0,0,2.0,8,,,1.0,9,688.0,700.0,,,CHEN Yufei,,9,-0.180375855573139,-0.5877253947844997,9,0.6667233392157492,1.2248283908985254,0,1,26,291,0.0,1,True,1,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904462993144989,1
2,00:00:10,321.0,0,0,TAI Tzu Ying,2,長球,0,0,1.0,10,688.0,700.0,1.0,3,489.0,424.0,,,CHEN Yufei,,10,0.5145226667684689,1.6612676375532764,9,-0.1406407216543967,-0.8359237261825992,0,1,26,291,0.5,0,True,1,0.0,0,0.5655745267868042,0.4344254434108734,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7557664513587952,1
3,00:00:12,363.0,0,0,CHEN Yufei,2,切球,0,0,1.0,4,489.0,424.0,2.0,2,412.0,564.0,,,CHEN Yufei,,4,-0.9306425596733156,-1.4461806163955664,9,-0.054744558895392,0.9762895686124652,0,1,26,291,1.0,1,True,1,0.0,0,0.3707108497619629,0.0732218027114868,0.5560673475265503,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2036572694778442,1
4,00:00:12,383.0,0,0,TAI Tzu Ying,3,網前球,0,1,2.0,3,412.0,564.0,2.0,10,868.0,495.0,出界,對手出界,CHEN Yufei,,9,-0.8114777357577629,0.7876546354799027,9,-0.5744957179738306,-1.3609106279118668,0,1,26,291,1.0,0,True,1,0.0,0,0.0809508115053176,0.0159891862422227,0.1943719238042831,0.7086881399154663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0763871744275093,1
1,00:00:24,726.0,1,0,CHEN Yufei,1,發長球,0,0,2.0,8,,,1.0,4,333.0,691.0,,,TAI Tzu Ying,,9,0.1115014219507767,-1.083187010004725,9,-0.6198619445256761,1.129861188958996,0,1,26,292,0.0,1,True,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8941690325737,2
2,00:00:26,788.0,1,0,TAI Tzu Ying,2,殺球,1,0,1.0,5,333.0,691.0,2.0,5,472.0,451.0,,,TAI Tzu Ying,,5,-1.268167341857651,1.5713198042125214,9,-0.2828948082679594,-1.0827451342086374,0,1,26,292,0.1666666666666666,0,True,0,1.0,1,0.4000531136989593,0.599946916103363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.8439955115318298,2
3,00:00:26,802.0,1,0,CHEN Yufei,2,接殺防守,0,0,2.0,6,472.0,451.0,2.0,7,712.0,571.0,,,TAI Tzu Ying,,9,-0.599631685492918,-0.9724678420238168,7,-1.142332866974553,1.414394097731874,0,1,26,292,0.1666666666666666,1,True,0,1.0,1,0.4652769267559051,0.2702440619468689,0.2644790410995483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7416967749595642,2
4,00:00:27,831.0,1,0,TAI Tzu Ying,2,推撲球,0,0,2.0,8,712.0,571.0,1.0,6,794.0,446.0,,,TAI Tzu Ying,,9,0.3936751997516243,0.7579697810102868,9,-0.2225320861412126,-1.019760044962006,0,1,26,292,0.25,0,True,0,1.0,1,0.0909820795059204,0.0528445839881897,0.0374110750854015,0.8187622427940369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0865407064557075,2
5,00:00:28,851.0,1,0,CHEN Yufei,2,切球,0,1,1.0,7,794.0,446.0,2.0,1,804.0,552.0,,,TAI Tzu Ying,,9,0.4734789994243789,-0.9741050118945402,9,0.4492593483007671,0.7069627886963143,0,1,26,292,0.3333333333333333,1,True,0,1.0,1,0.0725853368639946,0.0421593077480793,0.0298464857041835,0.4067226350307464,0.4486861824989319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.069178357720375,2
6,00:00:29,875.0,1,0,TAI Tzu Ying,2,網前球,0,0,2.0,2,804.0,552.0,2.0,6,804.0,492.0,,,TAI Tzu Ying,,2,1.002940460584904,0.4502451409512271,9,0.5694452650755264,-1.131432385087264,0,1,26,292,0.4166666666666667,0,True,0,1.0,1,0.0435037799179554,0.0252680443227291,0.0178883951157331,0.2437678873538971,0.3155277073383331,0.3540441691875458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.515457272529602,2
7,00:00:30,903.0,1,0,CHEN Yufei,2,挑球,0,1,2.0,7,804.0,492.0,1.0,6,396.0,664.0,,,TAI Tzu Ying,,8,0.8802777406397899,-0.3572369793129605,8,0.6003412042729227,0.63383536672697,0,1,26,292,0.5,1,True,0,1.0,1,0.0614859536290168,0.0357125252485275,0.0252825133502483,0.3445287048816681,0.4459502100944519,0.0600137077271938,0.0270263701677322,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.070748321712017,2
8,00:00:31,940.0,1,0,TAI Tzu Ying,2,長球,1,0,1.0,7,396.0,664.0,1.0,4,777.0,427.0,,,TAI Tzu Ying,,9,-0.1533787628043252,1.319584828670979,9,0.0453334825560346,-0.7178733252327435,0,1,26,292,0.5833333333333334,0,True,0,1.0,1,0.0572887510061264,0.0332746878266334,0.0235566589981317,0.3210102021694183,0.4155084192752838,0.0559170059859752,0.0170772243291139,0.0763669684529304,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0968247130513191,2
9,00:00:32,977.0,1,0,CHEN Yufei,2,殺球,1,0,1.0,5,777.0,427.0,2.0,2,391.0,590.0,,,TAI Tzu Ying,,9,0.6239111566818166,-1.277724849548341,9,-0.0464324413831338,1.1516563065408505,0,1,26,292,0.6666666666666666,1,True,0,1.0,1,0.060314230620861,0.0350319594144821,0.0248007103800773,0.3379630744457245,0.4374518394470215,0.0588700398802757,0.0179790910333395,0.0213140584528446,0.0062749627977609,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0690848231315612,2
