ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,win_prob,rally
1,00:06:55,12474.0,0,0,Supanida KATETHONG,1,發短球,0,0,2.0,8,,,2.0,7,716.0,498.0,,,Supanida KATETHONG,,9,-0.037268333833352,-0.8856087715915747,9,0.6690138096018369,1.0923390612071078,0,1,63,3353,0.0,0,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7292837500572205,1
2,00:06:56,12493.0,0,0,Carolina MARIN,2,挑球,0,1,2.0,8,716.0,498.0,1.0,9,526.0,317.0,,,Supanida KATETHONG,,9,0.3959332605467988,0.6809946545766566,9,0.1885915166867174,-0.9513542667753114,0,1,63,3353,0.25,1,True,0,0.0,0,0.225305825471878,0.7746942043304443,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2906592786312103,1
3,00:06:57,12520.0,0,0,Supanida KATETHONG,2,長球,1,0,1.0,10,526.0,317.0,1.0,9,776.0,634.0,,,Supanida KATETHONG,,9,-0.2462714051268002,-1.295834032912088,9,0.3246368748331317,0.9666736002950688,0,1,63,3353,0.5,0,True,0,0.0,0,0.1000156849622726,0.2871663570404053,0.6128180027008057,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7081406116485596,1
4,00:06:58,12552.0,0,0,Carolina MARIN,2,長球,1,0,1.0,10,776.0,634.0,1.0,9,543.0,321.0,,,Supanida KATETHONG,,9,0.2210720575732544,1.4354283956560163,9,-0.0975130954099612,-1.0799268724579507,0,1,63,3353,0.75,1,True,0,0.0,0,0.0236490406095981,0.0679014474153518,0.0696002319455146,0.8388492465019226,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2056076228618621,1
5,00:06:59,12581.0,0,0,Supanida KATETHONG,3,切球,1,0,1.0,10,543.0,321.0,2.0,7,749.0,453.0,對手落地致勝,落地致勝,Supanida KATETHONG,,9,-0.2668205102298105,-1.1588236313422258,9,0.0215237371845933,1.3718662766859004,0,1,63,3353,1.0,0,True,0,0.0,0,0.0163352042436599,0.0469018444418907,0.0480752624571323,0.5269572138786316,0.3617304861545563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4354948997497558,1
1,00:07:13,13009.0,0,1,Supanida KATETHONG,1,發長球,0,0,2.0,8,,,1.0,8,521.0,608.0,,,Carolina MARIN,,9,0.1927668423625094,-0.8367402815122006,9,-0.4481043621558307,1.088732475473127,0,1,63,3354,0.0,0,True,1,-1.0,-1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7932329773902893,2
2,00:07:14,13036.0,0,1,Carolina MARIN,2,長球,0,0,1.0,9,521.0,608.0,1.0,4,769.0,322.0,,,Carolina MARIN,,9,-0.4461826876306861,1.2339436032616888,9,0.228323172253722,-1.0166154874974882,0,1,63,3354,0.5,1,True,1,-1.0,-1,0.2109450846910476,0.7890549302101135,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3673584163188934,2
3,00:07:15,13067.0,0,1,Supanida KATETHONG,3,殺球,0,0,1.0,5,769.0,322.0,2.0,10,933.0,553.0,出界,對手出界,Carolina MARIN,,7,0.9286527601894592,-1.3335034768299845,9,-0.1196825446251519,1.2552103761778362,0,1,63,3354,1.0,0,True,1,-1.0,-1,0.111555203795433,0.3966143429279327,0.491830438375473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6073843240737915,2
1,00:08:22,15071.0,3,1,Carolina MARIN,1,發長球,0,1,2.0,8,,,1.0,9,708.0,319.0,,,Carolina MARIN,,9,-0.0138266839641001,0.8698681489848928,9,0.5771472453713465,-1.019324491887524,0,1,63,3357,0.0,1,True,1,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6072502136230469,5
2,00:08:23,15098.0,3,1,Supanida KATETHONG,2,殺球,0,0,1.0,10,708.0,319.0,2.0,6,469.0,549.0,,,Carolina MARIN,,9,0.8109653898965238,-1.2492894363553315,9,-0.1385886994213742,1.0640718769278183,0,1,63,3357,0.2,0,True,1,2.0,1,0.4680921137332916,0.531907856464386,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7332108020782471,5
3,00:08:23,15112.0,3,1,Carolina MARIN,2,接殺防守,0,0,2.0,7,469.0,549.0,2.0,8,543.0,374.0,,,Carolina MARIN,,9,-0.3033120966090739,1.0489539031722857,5,0.9692200052610744,-1.4185712568155082,0,1,63,3357,0.2,1,True,1,2.0,1,0.2474292814731598,0.2383200824260711,0.514250636100769,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5199422836303711,5
4,00:08:24,15137.0,3,1,Supanida KATETHONG,2,網前球,0,1,2.0,9,543.0,374.0,2.0,2,480.0,479.0,,,Carolina MARIN,,9,-0.4649468385182729,-0.7694713995605967,9,-0.6647506733112515,1.010700941770402,0,1,63,3357,0.4,0,True,1,2.0,1,0.1028146892786026,0.0990295335650444,0.1233217865228653,0.6748340129852295,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8747904300689697,5
5,00:08:25,15164.0,3,1,Carolina MARIN,2,挑球,0,0,2.0,3,480.0,479.0,1.0,3,475.0,317.0,,,Carolina MARIN,,8,-0.6050596870926304,0.5974462606899209,9,-0.1270616071136583,-0.9232309799276012,0,1,63,3357,0.6,1,True,1,2.0,1,0.0485063381493091,0.0467205457389354,0.0581812411546707,0.2185184359550476,0.6280734539031982,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6343896389007568,5
6,00:08:26,15202.0,3,1,Supanida KATETHONG,2,長球,1,0,1.0,4,475.0,317.0,1.0,9,516.0,624.0,,,Carolina MARIN,,10,-0.6905847527350948,-1.4186531720339477,9,-0.3778431728933813,0.9533101369372556,0,1,63,3357,0.8,0,True,1,2.0,1,0.0257242210209369,0.0247771758586168,0.0308550931513309,0.1158862486481666,0.2737970948219299,0.5289602279663086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.876266598701477,5
7,00:08:27,15234.0,3,1,Carolina MARIN,3,切球,0,0,1.0,10,516.0,624.0,2.0,6,814.0,384.0,對手落地致勝,落地致勝,Carolina MARIN,,9,-0.5444272498413548,1.4659100699399268,9,-0.4209431896637887,-1.171086635889323,0,1,63,3357,1.0,1,True,1,2.0,1,0.0094874482601881,0.0091381631791591,0.0113797821104526,0.0427404418587684,0.1009801253676414,0.0827452763915062,0.7435287833213806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4068731367588043,5
1,00:08:47,15818.0,4,1,Carolina MARIN,1,發短球,0,1,2.0,8,,,2.0,1,499.0,397.0,,,Supanida KATETHONG,,9,0.0701001866200347,0.8943083655701388,9,-0.6077307757425637,-1.075900469364237,0,1,63,3358,0.0,1,True,0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5512466430664062,6
2,00:08:48,15842.0,4,1,Supanida KATETHONG,2,挑球,0,1,2.0,2,499.0,397.0,1.0,8,500.0,593.0,,,Supanida KATETHONG,,8,-0.6218696522940319,-0.4573822795126183,9,-0.0151717341555872,1.0399453315109934,0,1,63,3358,0.125,0,True,0,3.0,2,0.2388124018907547,0.7611876130104065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8131669163703918,6
3,00:08:48,15864.0,4,1,Carolina MARIN,2,殺球,0,0,1.0,9,500.0,593.0,2.0,5,488.0,349.0,,,Supanida KATETHONG,,9,-0.3603412016409794,1.2336443836203983,9,-0.2949905924029918,-0.7459904941618601,0,1,63,3358,0.125,1,True,0,3.0,2,0.1316614001989364,0.3478237688541412,0.5205147862434387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4317639172077179,6
