ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:45,12159.0,0,0,Michelle LI,1,發長球,0,0,2.0,7,,,1.0,9,581.0,321.0,,,Evgeniya KOSETSKAYA,,8,0.1819407694669222,1.0585028089778283,8,-0.6100420010157304,-1.1300394150071242,0,1,87,5247,0.0,0,True,1,0.0,0
2,00:06:47,12223.0,0,0,Evgeniya KOSETSKAYA,2,殺球,0,0,1.0,9,581.0,321.0,2.0,8,629.0,530.0,,,Evgeniya KOSETSKAYA,,9,-0.2249553270360239,-1.495073489232008,8,0.0572493468528008,1.113851483537213,0,1,87,5247,0.25,1,True,1,0.0,0
3,00:06:47,12236.0,0,0,Michelle LI,2,接殺防守,0,1,2.0,8,629.0,530.0,2.0,2,775.0,393.0,,,Evgeniya KOSETSKAYA,,8,0.2247272708006191,1.0185330961334305,9,-0.2859355709225811,-1.38000083054384,0,1,87,5247,0.25,0,True,1,0.0,0
4,00:06:48,12261.0,0,0,Evgeniya KOSETSKAYA,2,網前球,0,1,2.0,2,775.0,393.0,2.0,1,840.0,474.0,,,Evgeniya KOSETSKAYA,,8,0.6430773302006265,-0.6369041928481666,8,0.2557235837537653,0.9862437778959562,0,1,87,5247,0.375,1,True,1,0.0,0
5,00:06:49,12291.0,0,0,Michelle LI,2,網前球,0,0,2.0,1,840.0,474.0,2.0,2,825.0,408.0,,,Evgeniya KOSETSKAYA,,1,1.115886409705539,0.5376610335878453,8,0.3485837188247156,-0.7336817203913656,0,1,87,5247,0.5,0,True,1,0.0,0
6,00:06:50,12315.0,0,0,Evgeniya KOSETSKAYA,2,挑球,0,1,2.0,2,825.0,408.0,1.0,4,463.0,615.0,,,Evgeniya KOSETSKAYA,,2,1.0182283269496477,-0.3684112322344599,7,0.7080205128929827,0.5658813708213337,0,1,87,5247,0.625,1,True,1,0.0,0
7,00:06:51,12357.0,0,0,Michelle LI,2,切球,0,1,1.0,4,463.0,615.0,2.0,8,753.0,391.0,,,Evgeniya KOSETSKAYA,,9,-0.7475539166673877,1.5343981164573226,8,-0.0938252292920457,-0.8573835127800162,0,1,87,5247,0.75,0,True,1,0.0,0
8,00:06:52,12380.0,0,0,Evgeniya KOSETSKAYA,2,網前球,0,1,2.0,8,753.0,391.0,2.0,2,490.0,473.0,,,Evgeniya KOSETSKAYA,,8,0.4958975021208475,-0.7341789789943354,8,-0.1918966927748731,1.2371576499279684,0,1,87,5247,0.875,1,True,1,0.0,0
9,00:06:53,12412.0,0,0,Michelle LI,3,挑球,0,1,2.0,2,490.0,473.0,2.0,10,944.0,362.0,出界,對手出界,Evgeniya KOSETSKAYA,,7,-0.7253613891192727,0.4592168193793071,8,-0.1735769505648076,-0.6950285180904441,0,1,87,5247,1.0,0,True,1,0.0,0
1,00:07:05,12779.0,1,0,Evgeniya KOSETSKAYA,1,發長球,0,0,2.0,7,,,1.0,8,495.0,607.0,,,Michelle LI,,8,0.1187732841623911,-1.0658607027379476,8,-0.7953519519280698,1.13107547981027,0,1,87,5248,0.0,1,True,0,1.0,1
