ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:37,11922.0,0,0,Hans-Kristian Solberg VITTINGHUS,1,發短球,0,1,2.0,7,,,2.0,8,706.0,511.0,,,LEE Cheuk Yiu,,8,-0.2449489881650832,-0.8134451257544756,8,0.6833300612104808,1.0836270248515891,0,1,74,4170,0.0,1,True,0,0.0,0
2,00:06:38,11946.0,0,0,LEE Cheuk Yiu,2,網前球,0,1,2.0,8,706.0,511.0,2.0,2,813.0,412.0,,,LEE Cheuk Yiu,,7,0.515132555221581,0.5553162768406951,8,-0.1348733015078103,-0.8629874848580595,0,1,74,4170,0.5,0,True,0,0.0,0
3,00:06:39,11972.0,0,0,Hans-Kristian Solberg VITTINGHUS,3,網前球,0,1,2.0,2,813.0,412.0,2.0,1,824.0,445.0,掛網,對手掛網,LEE Cheuk Yiu,,7,0.9064668843696724,-0.3046457838322342,8,0.4110319843653635,0.8613519131945934,0,1,74,4170,1.0,1,True,0,0.0,0
1,00:06:51,12344.0,0,1,LEE Cheuk Yiu,1,發短球,0,1,2.0,7,,,2.0,7,699.0,398.0,,,LEE Cheuk Yiu,,8,-0.0023782833298053,0.8518189565864672,8,0.6172778669258501,-1.1051416573807054,0,1,74,4171,0.0,0,True,0,-1.0,-1
2,00:06:52,12367.0,0,1,Hans-Kristian Solberg VITTINGHUS,2,網前球,0,0,2.0,7,699.0,398.0,2.0,1,810.0,487.0,,,LEE Cheuk Yiu,,7,0.477840949678603,-0.4985514471010865,8,0.1060811717056243,0.8110354774085179,0,1,74,4171,0.1428571428571428,1,True,0,-1.0,-1
3,00:06:53,12393.0,0,1,LEE Cheuk Yiu,2,挑球,0,0,2.0,1,810.0,487.0,1.0,6,765.0,332.0,,,LEE Cheuk Yiu,,7,0.8980975195192722,0.5919771881150186,8,0.347664555406516,-0.6402003900933361,0,1,74,4171,0.2857142857142857,0,True,0,-1.0,-1
4,00:06:54,12425.0,0,1,Hans-Kristian Solberg VITTINGHUS,2,殺球,1,0,1.0,6,765.0,332.0,2.0,5,843.0,557.0,,,LEE Cheuk Yiu,,8,0.5648625485532468,-1.2538064093836538,8,0.5575768735908236,0.9821722621375776,0,1,74,4171,0.4285714285714285,1,True,0,-1.0,-1
5,00:06:54,12438.0,0,1,LEE Cheuk Yiu,2,網前球,0,0,2.0,5,843.0,557.0,2.0,5,469.0,387.0,,,LEE Cheuk Yiu,,8,0.6550209560570721,1.0758680136533865,8,0.7049038543209982,-1.3641693420744403,0,1,74,4171,0.4285714285714285,0,True,0,-1.0,-1
6,00:06:55,12467.0,0,1,Hans-Kristian Solberg VITTINGHUS,2,網前球,0,0,2.0,5,469.0,387.0,2.0,2,449.0,468.0,,,LEE Cheuk Yiu,,8,-0.7206766894740771,-0.8404661787545166,8,0.1541792458986935,1.135193690230763,0,1,74,4171,0.5714285714285714,1,True,0,-1.0,-1
7,00:06:56,12493.0,0,1,LEE Cheuk Yiu,2,挑球,0,1,2.0,2,449.0,468.0,1.0,4,802.0,320.0,,,LEE Cheuk Yiu,,2,-0.8694379861543055,0.577045193849024,8,-0.5792811564435388,-1.0577390813503194,0,1,74,4171,0.7142857142857143,0,True,0,-1.0,-1
8,00:06:57,12530.0,0,1,Hans-Kristian Solberg VITTINGHUS,2,切球,0,1,1.0,4,802.0,320.0,1.0,7,632.0,457.0,,,LEE Cheuk Yiu,,6,1.0347311311430398,-1.362616594137238,8,0.2639645208337852,0.9574820097935888,0,1,74,4171,0.8571428571428571,1,True,0,-1.0,-1
9,00:06:58,12556.0,0,1,LEE Cheuk Yiu,2,平球,0,0,1.0,7,632.0,457.0,1.0,8,606.0,357.0,,,LEE Cheuk Yiu,,7,-0.3780283288462126,0.5610728187020045,8,0.1135413517809497,-1.1608645602108585,0,1,74,4171,1.0,0,True,0,-1.0,-1
10,00:06:58,12565.0,0,1,Hans-Kristian Solberg VITTINGHUS,3,接殺防守,0,1,1.0,8,606.0,357.0,2.0,7,514.0,446.0,掛網,對手掛網,LEE Cheuk Yiu,,8,-0.2729870102359693,-0.9911783760022438,8,-0.2800262389176708,0.6662254676774483,0,1,74,4171,1.0,1,True,0,-1.0,-1
1,00:07:13,13007.0,0,2,LEE Cheuk Yiu,1,發短球,0,1,2.0,7,,,2.0,7,596.0,396.0,,,Hans-Kristian Solberg VITTINGHUS,,8,0.0697732704365199,0.8274283152465897,8,-0.4659198350401036,-1.0703789950669824,0,1,74,4172,0.0,0,True,1,-2.0,-2
2,00:07:14,13030.0,0,2,Hans-Kristian Solberg VITTINGHUS,2,網前球,0,1,2.0,7,596.0,396.0,2.0,2,413.0,474.0,,,Hans-Kristian Solberg VITTINGHUS,,7,-0.5479835934295976,-0.4797309235586828,8,-0.056104430077272,0.8761037720196653,0,1,74,4172,0.1111111111111111,1,True,1,-2.0,-2
