ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:05:24,9731.0,0,0,KIDAMBI Srikanth,1,發短球,0,1,2.0,7,,,2.0,7,597.0,394.0,,,KIDAMBI Srikanth,,8,0.1101934634615241,0.8329635253159786,8,-0.5782182352325366,-0.964709587220312,0,1,88,5326,0.0,1,True,1,0.0,0
2,00:05:25,9754.0,0,0,NG Ka Long Angus,2,挑球,0,1,2.0,7,597.0,394.0,1.0,6,468.0,608.0,,,KIDAMBI Srikanth,,7,-0.5085981837489556,-0.5071581152949239,8,0.0832432485618842,0.9733426739293242,0,1,88,5326,0.0833333333333333,0,True,1,0.0,0
3,00:05:26,9787.0,0,0,KIDAMBI Srikanth,2,長球,1,0,1.0,6,468.0,608.0,1.0,8,722.0,335.0,,,KIDAMBI Srikanth,,8,-0.4612397814501213,1.443664488658149,8,-0.5590341364677914,-0.7610038374972632,0,1,88,5326,0.1666666666666666,1,True,1,0.0,0
4,00:05:27,9817.0,0,0,NG Ka Long Angus,2,切球,1,0,1.0,8,722.0,335.0,2.0,1,790.0,469.0,,,KIDAMBI Srikanth,,8,0.2671980764030413,-1.088922677453928,8,-0.1113924176808297,1.2539001167423756,0,1,88,5326,0.25,0,True,1,0.0,0
5,00:05:28,9851.0,0,0,KIDAMBI Srikanth,2,挑球,0,0,2.0,1,790.0,469.0,1.0,9,532.0,324.0,,,KIDAMBI Srikanth,,5,0.9336480988077416,0.6931149719215165,8,0.4357059702664588,-0.9320173352028348,0,1,88,5326,0.3333333333333333,1,True,1,0.0,0
6,00:05:29,9894.0,0,0,NG Ka Long Angus,2,切球,0,0,1.0,9,532.0,324.0,2.0,6,403.0,556.0,,,KIDAMBI Srikanth,,9,-0.6026480570690841,-1.387114867702512,8,0.2934628403873545,1.076512874799662,0,1,88,5326,0.4166666666666667,0,True,1,0.0,0
7,00:05:30,9916.0,0,0,KIDAMBI Srikanth,2,推撲球,0,1,2.0,6,403.0,556.0,2.0,3,455.0,321.0,,,KIDAMBI Srikanth,,6,-1.0506696903546902,1.056428410204294,8,-0.3813620840987685,-1.1793372365570003,0,1,88,5326,0.5,1,True,1,0.0,0
8,00:05:31,9951.0,0,0,NG Ka Long Angus,2,切球,0,0,2.0,3,455.0,321.0,2.0,6,426.0,513.0,,,KIDAMBI Srikanth,,5,-1.0226455140886797,-1.313470093716915,8,-0.1306322002501609,1.077629498718969,0,1,88,5326,0.5833333333333334,0,True,1,0.0,0
9,00:05:32,9975.0,0,0,KIDAMBI Srikanth,2,網前球,0,1,2.0,6,426.0,513.0,2.0,2,790.0,411.0,,,KIDAMBI Srikanth,,6,-1.0843916151626178,0.9441683227034864,8,-0.6182132893554401,-1.123520462713962,0,1,88,5326,0.6666666666666666,1,True,1,0.0,0
10,00:05:33,10004.0,0,0,NG Ka Long Angus,2,挑球,0,1,2.0,2,790.0,411.0,1.0,9,515.0,616.0,,,KIDAMBI Srikanth,,7,0.8251054511865284,-0.3752099712188548,8,-0.1549936653005052,1.0222392951980404,0,1,88,5326,0.75,0,True,1,0.0,0
11,00:05:34,10048.0,0,0,KIDAMBI Srikanth,2,長球,0,0,1.0,9,515.0,616.0,1.0,4,758.0,314.0,,,KIDAMBI Srikanth,,8,-0.4748440264667679,1.4928124458238845,8,-0.190747628687552,-0.8895517615322159,0,1,88,5326,0.8333333333333334,1,True,1,0.0,0
12,00:05:36,10083.0,0,0,NG Ka Long Angus,2,切球,0,1,1.0,4,758.0,314.0,2.0,1,811.0,499.0,,,KIDAMBI Srikanth,,8,0.7662080299227515,-1.2557787701478211,8,0.0553455736411693,1.2385241264641451,0,1,88,5326,1.0,0,True,1,0.0,0
13,00:05:36,10109.0,0,0,KIDAMBI Srikanth,3,網前球,0,0,2.0,1,811.0,499.0,2.0,2,846.0,412.0,對手落地致勝,落地致勝,KIDAMBI Srikanth,,8,0.62170351650357,0.8398100642730153,8,0.2118665635684774,-1.0353211683892791,0,1,88,5326,1.0,1,True,1,0.0,0
1,00:05:51,10551.0,0,1,KIDAMBI Srikanth,1,發短球,0,1,2.0,7,,,2.0,7,665.0,397.0,,,NG Ka Long Angus,,8,-0.0180189937239221,0.9000399938806213,8,0.7287799208921738,-0.9990204026386754,0,1,88,5327,0.0,1,True,0,1.0,1
2,00:05:52,10578.0,0,1,NG Ka Long Angus,2,推撲球,0,0,2.0,7,665.0,397.0,1.0,5,848.0,604.0,,,NG Ka Long Angus,,7,0.6735638158241088,-0.4318519435700836,8,-0.0301754703215054,0.932965359008748,0,1,88,5327,0.2,0,True,0,1.0,1
3,00:05:53,10608.0,0,1,KIDAMBI Srikanth,2,長球,0,0,1.0,5,848.0,604.0,1.0,3,514.0,315.0,,,NG Ka Long Angus,,9,0.6703414343522355,1.518432089338586,8,0.2311671577130793,-0.6791677335267092,0,1,88,5327,0.4,1,True,0,1.0,1
4,00:05:54,10648.0,0,1,NG Ka Long Angus,2,長球,0,0,1.0,3,514.0,315.0,1.0,6,444.0,595.0,,,NG Ka Long Angus,,8,-0.8566034288180157,-1.3005800392605342,8,0.0571877507457855,1.1162365897767372,0,1,88,5327,0.6,0,True,0,1.0,1
5,00:05:56,10681.0,0,1,KIDAMBI Srikanth,3,長球,1,0,1.0,6,444.0,595.0,2.0,10,704.0,293.0,出界,對手出界,NG Ka Long Angus,,8,-0.8083729046648064,1.4301974219932638,8,-0.588088703497693,-1.003902876018089,0,1,88,5327,1.0,1,True,0,1.0,1
1,00:06:06,10999.0,1,1,NG Ka Long Angus,1,發短球,0,1,2.0,7,,,2.0,7,585.0,499.0,,,KIDAMBI Srikanth,,8,0.0628050225265406,-0.7273943673372832,8,-0.6942316593729717,1.0237114099867608,0,1,88,5328,0.0,0,True,1,0.0,-1
2,00:06:07,11029.0,1,1,KIDAMBI Srikanth,3,網前球,0,0,2.0,7,585.0,499.0,2.0,2,817.0,418.0,對手落地致勝,落地致勝,KIDAMBI Srikanth,,8,-0.48270599668204,0.7925106575378452,8,-0.1737823769724754,-0.7508132031128701,0,1,88,5328,1.0,1,True,1,0.0,-1
1,00:06:18,11361.0,1,2,KIDAMBI Srikanth,1,發短球,0,1,2.0,7,,,2.0,7,599.0,403.0,,,NG Ka Long Angus,,8,0.1516978308932696,0.8746688648660914,8,-0.5133977306736704,-1.0307329647820174,0,1,88,5329,0.0,1,True,0,1.0,1
2,00:06:19,11384.0,1,2,NG Ka Long Angus,3,網前球,0,0,2.0,7,599.0,403.0,2.0,2,453.0,471.0,對手落地致勝,落地致勝,NG Ka Long Angus,,7,-0.2275202874148469,-0.4852148434486271,8,0.1092858475195968,0.874795532789402,0,1,88,5329,1.0,0,True,0,1.0,1
