ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,win_prob,rally
1,00:06:00,10827.0,0,0,NG Ka Long Angus,1,發短球,0,1,2.0,8,,,2.0,7,759.0,490.0,,,NG Ka Long Angus,,9,-0.0517434089819439,-0.8232003518392818,9,0.7530429343245952,1.0844306323163622,0,1,60,3117,0.0,0,True,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1901378035545349,1
2,00:06:01,10849.0,0,0,LEE Cheuk Yiu,2,網前球,0,0,2.0,8,759.0,490.0,2.0,7,648.0,414.0,,,NG Ka Long Angus,,9,0.410888044859988,0.6634111088536413,9,0.0218488257982619,-0.7736568077358212,0,1,60,3117,0.125,1,True,0,0.0,0,0.4967198967933655,0.5032801032066345,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3141074776649475,1
3,00:06:02,10873.0,0,0,NG Ka Long Angus,2,挑球,0,0,2.0,8,648.0,414.0,1.0,3,898.0,634.0,,,NG Ka Long Angus,,8,-0.0094491998726135,-0.4620708738855399,9,0.0618765326790425,0.8101117154813148,0,1,60,3117,0.25,0,True,0,0.0,0,0.3593882024288177,0.3563844561576843,0.2842273116111755,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4725641906261444,1
4,00:06:03,10917.0,0,0,LEE Cheuk Yiu,2,長球,0,0,1.0,4,898.0,634.0,1.0,4,806.0,319.0,,,NG Ka Long Angus,,4,1.0113099036584925,1.781670226535197,9,0.0520902638111362,-0.8362906820256256,0,1,60,3117,0.375,1,True,0,0.0,0,0.2597564160823822,0.2575853765010834,0.2061052024364471,0.2765529751777649,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5787444114685059,1
5,00:06:04,10943.0,0,0,NG Ka Long Angus,2,切球,0,1,1.0,5,806.0,319.0,2.0,1,867.0,473.0,,,NG Ka Long Angus,,7,1.2007677495287892,-1.035298553822955,9,0.7099524137892659,1.4122335652620717,0,1,60,3117,0.5,0,True,0,0.0,0,0.2250604927539825,0.2231794595718383,0.1785755455493927,0.1892305314540863,0.1839539557695388,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6329653859138489,1
6,00:06:05,10966.0,0,0,LEE Cheuk Yiu,2,網前球,0,0,2.0,2,867.0,473.0,2.0,2,823.0,416.0,,,NG Ka Long Angus,,2,1.0337524594841008,0.5552621395388245,9,0.8003489218814217,-1.0594936598132074,0,1,60,3117,0.625,1,True,0,0.0,0,0.1795512735843658,0.1780506074428558,0.1424659937620163,0.1509664356708526,0.1501554697751999,0.1988101452589035,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6222095489501953,1
7,00:06:06,10994.0,0,0,NG Ka Long Angus,2,挑球,0,1,2.0,3,823.0,416.0,1.0,9,491.0,637.0,,,NG Ka Long Angus,,3,0.9833451020311476,-0.4318249328596906,9,0.4445247379797454,0.7155058981776451,0,1,60,3117,0.75,0,True,0,0.0,0,0.1662664264440536,0.1648767739534378,0.1319250464439392,0.1397965550422668,0.1390455961227417,0.1469037234783172,0.1111858934164047,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6799149513244629,1
8,00:06:08,11041.0,0,0,LEE Cheuk Yiu,3,切球,0,0,1.0,10,491.0,637.0,2.0,10,859.0,391.0,出界,對手出界,NG Ka Long Angus,,10,-0.5619647439636087,1.6791747994775352,9,-0.2534601846242948,-0.9108394392156476,0,1,60,3117,1.0,1,True,0,0.0,0,0.1417392045259475,0.1405545622110366,0.1124637797474861,0.1191741079092025,0.1185339242219924,0.125232845544815,0.0969156324863433,0.1453859657049179,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590222179889679,1
1,00:07:53,14215.0,1,3,LEE Cheuk Yiu,1,發短球,0,1,2.0,8,,,2.0,7,719.0,408.0,,,LEE Cheuk Yiu,,9,-0.0713715065498709,0.9181605710537823,9,0.6947421441931012,-1.165873983680221,0,1,60,3121,0.0,1,True,1,2.0,-1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1441778987646103,5
2,00:07:54,14237.0,1,3,NG Ka Long Angus,2,網前球,0,1,2.0,8,719.0,408.0,2.0,2,442.0,482.0,,,LEE Cheuk Yiu,,8,0.3883155006597805,-0.4522642734186982,9,0.1587591616941179,1.014484927976228,0,1,60,3121,0.5,0,True,1,2.0,-1,0.7042941451072693,0.2957058548927307,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667860597372055,5
