ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:06:28,11659.0,0,0,Viktor AXELSEN,1,發短球,0,1,2.0,7,,,2.0,7,769.0,499.0,,,Viktor AXELSEN,,8,-0.1208655841430803,-0.7637844436346818,8,0.6428946930131079,1.031957990532885,0,1,75,4285,0.0,0,True,0,0.0,0
2,00:06:29,11681.0,0,0,LIEW Daren,2,網前球,0,0,2.0,7,769.0,499.0,2.0,7,629.0,398.0,,,Viktor AXELSEN,,7,0.354752040992288,0.6527949820308697,8,-0.0835969860098973,-0.7269143346064452,0,1,75,4285,0.0555555555555555,1,True,0,0.0,0
3,00:06:30,11704.0,0,0,Viktor AXELSEN,2,挑球,0,1,2.0,7,629.0,398.0,1.0,6,444.0,616.0,,,Viktor AXELSEN,,7,-0.2660387336994398,-0.5014118554898997,8,0.0888486516959982,0.7208113014020826,0,1,75,4285,0.1111111111111111,0,True,0,0.0,0
4,00:06:31,11740.0,0,0,LIEW Daren,2,切球,0,1,1.0,6,444.0,616.0,2.0,8,663.0,365.0,,,Viktor AXELSEN,,9,-0.803433733654647,1.5281718965619084,8,-0.460103236257386,-0.9148771476906958,0,1,75,4285,0.1666666666666666,1,True,0,0.0,0
5,00:06:31,11758.0,0,0,Viktor AXELSEN,2,挑球,0,1,2.0,8,663.0,365.0,1.0,4,451.0,623.0,,,Viktor AXELSEN,,8,-0.2293286878304013,-0.7029341320113337,8,-0.2657595920925976,1.2706905519666405,0,1,75,4285,0.1666666666666666,0,True,0,0.0,0
6,00:06:33,11793.0,0,0,LIEW Daren,2,切球,0,1,1.0,4,451.0,623.0,2.0,5,483.0,376.0,,,Viktor AXELSEN,,8,-0.6645847437690356,1.4536625891903263,8,-0.3756075236468487,-1.030755520324078,0,1,75,4285,0.2777777777777778,1,True,0,0.0,0
7,00:06:33,11817.0,0,0,Viktor AXELSEN,2,網前球,0,0,2.0,5,483.0,376.0,2.0,2,447.0,491.0,,,Viktor AXELSEN,,8,-0.7321486598404501,-0.6920784982095173,8,-0.1645557822987703,1.053149068629566,0,1,75,4285,0.2777777777777778,0,True,0,0.0,0
8,00:06:34,11842.0,0,0,LIEW Daren,2,網前球,0,1,2.0,2,447.0,491.0,2.0,7,756.0,395.0,,,Viktor AXELSEN,,2,-0.8857344689176988,0.6495378720095975,8,-0.4717297749718421,-0.7278914315762618,0,1,75,4285,0.3333333333333333,1,True,0,0.0,0
9,00:06:35,11867.0,0,0,Viktor AXELSEN,2,挑球,0,1,2.0,7,756.0,395.0,1.0,4,413.0,629.0,,,Viktor AXELSEN,,7,0.5219751910428179,-0.4304542469785399,8,-0.2932998856387297,0.7872517766808157,0,1,75,4285,0.3888888888888889,0,True,0,0.0,0
10,00:06:36,11907.0,0,0,LIEW Daren,2,切球,0,1,1.0,4,413.0,629.0,2.0,5,486.0,386.0,,,Viktor AXELSEN,,9,-0.7877871479126303,1.6079852535553183,8,-0.2455949262759796,-0.99140122046393,0,1,75,4285,0.4444444444444444,1,True,0,0.0,0
11,00:06:37,11928.0,0,0,Viktor AXELSEN,2,挑球,0,0,2.0,5,486.0,386.0,1.0,3,875.0,633.0,,,Viktor AXELSEN,,8,-0.7351686358750222,-0.6439308680844752,8,-0.3560348084258745,1.174514174376742,0,1,75,4285,0.5,0,True,0,0.0,0
12,00:06:38,11965.0,0,0,LIEW Daren,2,切球,0,0,1.0,3,875.0,633.0,2.0,6,839.0,379.0,,,Viktor AXELSEN,,8,0.8274163567316266,1.491928682163738,8,-0.0863003417147831,-0.9266937927304384,0,1,75,4285,0.5555555555555556,1,True,0,0.0,0
13,00:06:39,11991.0,0,0,Viktor AXELSEN,2,網前球,0,1,2.0,6,839.0,379.0,2.0,2,488.0,491.0,,,Viktor AXELSEN,,6,1.2030309452837078,-0.6510294626828816,8,0.4419036990617948,1.257997866085223,0,1,75,4285,0.6111111111111112,0,True,0,0.0,0
14,00:06:40,12017.0,0,0,LIEW Daren,2,網前球,0,1,2.0,2,488.0,491.0,2.0,1,494.0,407.0,,,Viktor AXELSEN,,7,-0.5269124077828278,0.5804663621197766,8,0.2501629073082505,-0.9003832428704251,0,1,75,4285,0.6666666666666666,1,True,0,0.0,0
15,00:06:41,12045.0,0,0,Viktor AXELSEN,2,挑球,0,0,2.0,1,494.0,407.0,1.0,4,444.0,632.0,,,Viktor AXELSEN,,7,-0.7634527429395698,-0.332353557402427,7,-0.3431094101300555,0.6422827775206503,0,1,75,4285,0.7222222222222222,0,True,0,0.0,0
16,00:06:42,12085.0,0,0,LIEW Daren,2,長球,0,1,1.0,4,444.0,632.0,1.0,3,451.0,310.0,,,Viktor AXELSEN,,9,-0.7770459752907702,1.608014264506019,8,-0.3452088616165367,-0.8513702892200875,0,1,75,4285,0.7777777777777778,1,True,0,0.0,0
