ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,win_prob,rally
1,00:02:53,4334.0,0,0,NG Ka Long Angus,1,發短球,0,1,2.0,8,,,2.0,7,710.0,512.0,,,NG Ka Long Angus,,9,-0.0884869871974035,-0.8017671994449568,9,0.4765008508865122,0.9736667390339768,0,1,44,1806,0.0,1,True,1,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3748819828033447,1
2,00:02:54,4352.0,0,0,CHOU Tien Chen,2,挑球,0,0,2.0,8,710.0,512.0,1.0,3,482.0,341.0,,,NG Ka Long Angus,,8,0.3741038860817453,0.5753154849971404,9,-0.0766736805391449,-0.7882330091560631,0,1,44,1806,0.1,0,True,1,0.0,0,0.476805180311203,0.5231947898864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3917533457279205,1
3,00:02:55,4381.0,0,0,NG Ka Long Angus,2,長球,0,0,1.0,4,482.0,341.0,1.0,3,372.0,636.0,,,NG Ka Long Angus,,10,-0.6519255136060214,-1.4472836880207531,9,-0.2316024535606568,0.9988757524517028,0,1,44,1806,0.2,1,True,1,0.0,0,0.2890328764915466,0.3165896832942962,0.3943774998188019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4051002562046051,1
4,00:02:56,4410.0,0,0,CHOU Tien Chen,2,殺球,1,0,1.0,4,372.0,636.0,2.0,6,837.0,386.0,,,NG Ka Long Angus,,10,-0.744424143291668,1.5416092423340864,9,-0.4356991594718176,-1.1856503347025276,0,1,44,1806,0.3,0,True,1,0.0,0,0.1979830265045166,0.2168589979410171,0.2630922198295593,0.3220657408237457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4122587442398071,1
5,00:02:57,4425.0,0,0,NG Ka Long Angus,2,接殺防守,0,1,2.0,7,837.0,386.0,2.0,7,810.0,504.0,,,NG Ka Long Angus,,9,0.3892026421100815,-0.9138422643655516,10,-0.823271072453405,1.6009874198282326,0,1,44,1806,0.4,1,True,1,0.0,0,0.1513673961162567,0.1657989770174026,0.2011464536190033,0.2320706248283386,0.2496165633201599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4063984751701355,1
6,00:02:57,4449.0,0,0,CHOU Tien Chen,2,推撲球,0,0,2.0,8,810.0,504.0,1.0,6,846.0,366.0,,,NG Ka Long Angus,,9,0.6826830890345953,0.6837259033710907,9,0.5096036162851788,-1.0858657514704155,0,1,44,1806,0.4,0,True,1,0.0,0,0.1229373887181282,0.1346584111452102,0.1633668839931488,0.1884828358888626,0.2013889998197555,0.1891654878854751,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3952622711658478,1
7,00:02:58,4460.0,0,0,NG Ka Long Angus,2,長球,0,1,1.0,7,846.0,366.0,1.0,5,417.0,617.0,,,NG Ka Long Angus,,9,0.1908550777458564,-0.9694766503516646,9,0.7072403642980267,0.7191957961677442,0,1,44,1806,0.5,1,True,1,0.0,0,0.1065871715545654,0.1167493388056755,0.141639694571495,0.1634153127670288,0.1746049970388412,0.1579170674085617,0.1390864104032516,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3833873271942138,1
8,00:02:59,4487.0,0,0,CHOU Tien Chen,2,長球,1,0,1.0,6,417.0,617.0,1.0,9,723.0,342.0,,,NG Ka Long Angus,,9,-0.3938948479341227,1.290336912013016,9,-0.1686900409809537,-0.968137187486506,0,1,44,1806,0.6,0,True,1,0.0,0,0.0945702865719795,0.1035867482423782,0.1256709098815918,0.1449914872646331,0.1549196243286132,0.1401131302118301,0.1211618557572364,0.1149859502911567,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3721364140510559,1
9,00:03:00,4521.0,0,0,NG Ka Long Angus,2,切球,0,0,1.0,10,723.0,342.0,2.0,1,362.0,500.0,,,NG Ka Long Angus,,9,0.4476960985902526,-1.310812949367267,9,0.0533282575876814,1.1478239558502874,0,1,44,1806,0.7,1,True,1,0.0,0,0.0833850279450416,0.0913350731134414,0.1108072400093078,0.1278426945209503,0.1365965753793716,0.1235413178801536,0.1068314909934997,0.1020238399505615,0.1176367774605751,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3659373223781585,1
10,00:03:01,4544.0,0,0,CHOU Tien Chen,2,網前球,0,1,2.0,2,362.0,500.0,1.0,1,397.0,447.0,,,NG Ka Long Angus,,2,-0.9771518747612596,0.6506899878550225,9,0.2359976641037373,-1.1733824882957968,0,1,44,1806,0.8,0,True,1,0.0,0,0.0715411826968193,0.0783620178699493,0.0950683876872062,0.1096841618418693,0.1171946674585342,0.105993740260601,0.0916573479771614,0.087532564997673,0.0944872796535492,0.1484786123037338,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4205919504165649,1
