ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:05:47,10418.0,0,0,Pornpawee CHOCHUWONG,1,發長球,0,0,2.0,7,,,1.0,3,824.0,637.0,,,An Se Young,,8,-0.1821346611736899,-0.9415026799080576,8,0.5629295025881358,1.1771350477614682,0,1,71,3916,0.0,1,True,0,0.0,0
2,00:05:49,10481.0,0,0,An Se Young,2,切球,0,0,1.0,3,824.0,637.0,2.0,2,799.0,394.0,,,An Se Young,,9,0.7447227622518499,1.658487077780432,8,0.074158598514236,-1.1226063880105874,0,1,71,3916,0.25,0,True,0,0.0,0
3,00:05:50,10512.0,0,0,Pornpawee CHOCHUWONG,2,挑球,0,1,2.0,2,799.0,394.0,1.0,3,860.0,631.0,,,An Se Young,,8,0.7380442225835,-0.7111973220758913,8,0.3485243151582691,1.092908631505935,0,1,71,3916,0.375,1,True,0,0.0,0
4,00:05:51,10546.0,0,0,An Se Young,2,長球,0,0,1.0,3,860.0,631.0,1.0,4,769.0,316.0,,,An Se Young,,3,0.9644933609924312,1.5404210747076827,8,0.254119410882348,-0.96434882983908,0,1,71,3916,0.5,0,True,0,0.0,0
5,00:05:52,10576.0,0,0,Pornpawee CHOCHUWONG,2,殺球,1,0,1.0,4,769.0,316.0,2.0,8,541.0,512.0,,,An Se Young,,9,0.6993537832002353,-1.406676818517555,8,0.351862841025102,1.14623073896475,0,1,71,3916,0.625,1,True,0,0.0,0
6,00:05:53,10594.0,0,0,An Se Young,2,接殺防守,0,1,2.0,8,541.0,512.0,2.0,1,492.0,405.0,,,An Se Young,,8,0.3966387274237896,1.0622667186740091,8,0.8306053458897685,-1.2800594563958678,0,1,71,3916,0.75,0,True,0,0.0,0
7,00:05:54,10629.0,0,0,Pornpawee CHOCHUWONG,2,網前球,0,0,2.0,1,492.0,405.0,1.0,2,483.0,467.0,,,An Se Young,,7,-0.7531764098187784,-0.4489478624088319,7,-0.4456681339530747,0.587517977864786,0,1,71,3916,0.875,1,True,0,0.0,0
8,00:05:55,10652.0,0,0,An Se Young,3,推撲球,0,1,1.0,2,483.0,467.0,2.0,9,661.0,309.0,對手落地致勝,落地致勝,An Se Young,,2,-0.9544204237183674,0.2144671011804705,5,-0.9553235582300948,-0.6014913413173065,0,1,71,3916,1.0,0,True,0,0.0,0
1,00:07:04,12727.0,2,1,An Se Young,1,發短球,0,1,2.0,7,,,2.0,7,553.0,406.0,,,An Se Young,,8,0.0707273305387307,0.8536574460008021,8,-0.5530093896988835,-0.9824690939628032,0,1,71,3919,0.0,0,True,0,-1.0,-1
2,00:07:05,12755.0,2,1,Pornpawee CHOCHUWONG,2,推撲球,0,0,2.0,7,553.0,406.0,1.0,6,463.0,605.0,,,An Se Young,,8,-0.5989350605432124,-0.575722704478984,8,0.0527310420386785,0.8371247390772751,0,1,71,3919,0.3333333333333333,1,True,0,-1.0,-1
3,00:07:06,12783.0,2,1,An Se Young,2,長球,1,0,1.0,6,463.0,605.0,1.0,3,487.0,313.0,,,An Se Young,,8,-0.1199837818337663,1.2118058677669217,8,-0.5255916873212316,-0.9054657908672258,0,1,71,3919,0.6666666666666666,0,True,0,-1.0,-1
4,00:07:07,12838.0,2,1,Pornpawee CHOCHUWONG,3,切球,0,0,1.0,3,487.0,313.0,2.0,10,403.0,423.0,未過網,對手未過網,An Se Young,,9,-0.7380956648680506,-1.4026150037975569,8,-0.3656744402485768,1.01244325353965,0,1,71,3919,1.0,1,True,0,-1.0,-1
1,00:07:33,13591.0,3,1,An Se Young,1,發短球,0,1,2.0,7,,,2.0,7,689.0,399.0,,,Pornpawee CHOCHUWONG,,8,-0.0435873569786986,0.8531753153324502,8,0.5376109810709887,-1.053440168196244,0,1,71,3920,0.0,0,True,1,-2.0,-2
2,00:07:34,13623.0,3,1,Pornpawee CHOCHUWONG,2,網前球,0,0,2.0,7,689.0,399.0,2.0,1,799.0,478.0,,,Pornpawee CHOCHUWONG,,7,0.5197467530903029,-0.4759283220275415,8,0.0225987794101941,0.8534544602688173,0,1,71,3920,1.0,1,True,1,-2.0,-2
3,00:07:34,13649.0,3,1,An Se Young,3,網前球,0,0,2.0,1,799.0,478.0,2.0,1,802.0,450.0,掛網,對手掛網,Pornpawee CHOCHUWONG,,7,0.8973181474445122,0.4590734035161936,8,0.4141159908363255,-0.6648221943521232,0,1,71,3920,1.0,0,True,1,-2.0,-2
1,00:10:23,18713.0,5,5,An Se Young,1,發短球,0,1,2.0,7,,,2.0,7,724.0,400.0,,,Pornpawee CHOCHUWONG,,8,-0.079444110617605,0.8694089017786109,8,0.4648474616744276,-0.9629848088325516,0,1,71,3926,0.0,0,True,1,0.0,1
2,00:10:24,18735.0,5,5,Pornpawee CHOCHUWONG,2,推撲球,0,0,2.0,7,724.0,400.0,2.0,3,896.0,624.0,,,Pornpawee CHOCHUWONG,,7,0.7146428804781781,-0.5094523015091905,8,0.1379977081098249,0.7792979251010266,0,1,71,3926,0.5,1,True,1,0.0,1
3,00:10:25,18768.0,5,5,An Se Young,3,切球,0,0,2.0,3,896.0,624.0,2.0,7,559.0,443.0,掛網,對手掛網,Pornpawee CHOCHUWONG,,3,1.000976508465055,1.587251124441605,8,0.2405600448421056,-1.029221627525189,0,1,71,3926,1.0,0,True,1,0.0,1
1,00:10:44,19343.0,5,6,Pornpawee CHOCHUWONG,1,發長球,0,0,2.0,7,,,1.0,3,828.0,642.0,,,An Se Young,,8,-0.1824365561826829,-0.9543213738268348,8,0.5086620262497682,1.2141775421755103,0,1,71,3927,0.0,1,True,0,1.0,2
2,00:10:46,19400.0,5,6,An Se Young,2,殺球,0,0,1.0,3,828.0,642.0,2.0,6,797.0,348.0,,,An Se Young,,9,0.796711769238276,1.579941444937327,8,0.0505236456636623,-0.8387944933221663,0,1,71,3927,0.1538461538461538,0,True,0,1.0,2
3,00:10:47,19422.0,5,6,Pornpawee CHOCHUWONG,2,網前球,0,1,2.0,6,797.0,348.0,2.0,8,504.0,512.0,,,An Se Young,,8,0.2033920914135665,-1.0687857800981544,8,0.8628710530770229,1.2596662817485516,0,1,71,3927,0.2307692307692307,1,True,0,1.0,2
4,00:10:48,19446.0,5,6,An Se Young,2,挑球,0,1,2.0,8,504.0,512.0,1.0,3,514.0,310.0,,,An Se Young,,8,-0.455239734194281,0.7260781873063404,8,-0.0392815805966811,-0.9278044027995244,0,1,71,3927,0.3076923076923077,0,True,0,1.0,2
5,00:10:49,19488.0,5,6,Pornpawee CHOCHUWONG,2,長球,0,0,1.0,3,514.0,310.0,2.0,3,885.0,629.0,,,An Se Young,,3,-0.8713523886962066,-1.47478756999544,8,0.0998544120963254,0.9509648531707438,0,1,71,3927,0.3846153846153846,1,True,0,1.0,2
6,00:10:50,19520.0,5,6,An Se Young,2,切球,0,0,2.0,3,885.0,629.0,2.0,2,794.0,392.0,,,An Se Young,,9,0.9146752270960552,1.5469675216146943,8,-0.1411851631678695,-1.1641829697360484,0,1,71,3927,0.4615384615384615,0,True,0,1.0,2
7,00:10:51,19549.0,5,6,Pornpawee CHOCHUWONG,2,網前球,0,1,2.0,2,794.0,392.0,2.0,1,840.0,473.0,,,An Se Young,,7,0.8814426359347174,-0.4623140593043541,8,0.4730461338549597,0.9604709095451458,0,1,71,3927,0.5384615384615384,1,True,0,1.0,2
8,00:10:52,19576.0,5,6,An Se Young,2,挑球,0,0,2.0,1,840.0,473.0,1.0,9,748.0,316.0,,,An Se Young,,1,0.937499208966176,0.44095713664998,7,0.3997219809860339,-0.4997224829547167,0,1,71,3927,0.6153846153846154,0,True,0,1.0,2
