ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score
1,00:05:11,9346.0,0,0,Rasmus GEMKE,1,發短球,0,1,2.0,7,,,2.0,8,715.0,508.0,,,Anthony Sinisuka GINTING,,8,-0.098676738777779,-0.7578256697447244,8,0.5210700602127506,0.9451665180667526,0,1,61,3188,0.0,1,True,0,0.0,0
2,00:05:12,9367.0,0,0,Anthony Sinisuka GINTING,2,推撲球,0,0,2.0,8,715.0,508.0,1.0,3,465.0,313.0,,,Anthony Sinisuka GINTING,,8,0.3345517793854241,0.7539048417789965,8,0.1015152039975844,-0.8339641870773681,0,1,61,3188,0.5,0,True,0,0.0,0
3,00:05:13,9399.0,0,0,Rasmus GEMKE,3,平球,0,0,1.0,3,465.0,313.0,2.0,10,334.0,618.0,出界,對手出界,Anthony Sinisuka GINTING,,9,-0.6904105199740176,-1.3764758506809465,8,-0.226686914169757,1.1060581681507713,0,1,61,3188,1.0,1,True,0,0.0,0
1,00:13:19,23983.0,7,5,Anthony Sinisuka GINTING,1,發短球,0,1,2.0,7,,,2.0,7,654.0,392.0,,,Rasmus GEMKE,,8,-0.0815129005708047,0.8061962058069607,8,0.6951855405147486,-0.9138131507903964,0,1,61,3200,0.0,0,True,1,-2.0,-1
2,00:13:20,24005.0,7,5,Rasmus GEMKE,2,挑球,0,0,2.0,7,654.0,392.0,2.0,9,802.0,623.0,,,Rasmus GEMKE,,7,0.2728613158271858,-0.4720551872237815,8,0.0213367475698455,0.8394761482527381,0,1,61,3200,0.5,1,True,1,-2.0,-1
3,00:13:21,24036.0,7,5,Anthony Sinisuka GINTING,3,長球,0,0,2.0,9,802.0,623.0,2.0,10,847.0,310.0,出界,對手出界,Rasmus GEMKE,,9,0.5146149724871583,1.741006344240862,8,0.012187527760405,-0.8083064031737696,0,1,61,3200,1.0,0,True,1,-2.0,-1
1,00:14:10,25514.0,7,7,Rasmus GEMKE,1,發短球,0,1,2.0,7,,,2.0,8,599.0,512.0,,,Anthony Sinisuka GINTING,,8,0.1303815682751215,-0.7964903546794263,8,-0.5169952893412251,0.730885168903565,0,1,61,3202,0.0,1,True,0,0.0,1
2,00:14:11,25536.0,7,7,Anthony Sinisuka GINTING,2,推撲球,0,0,2.0,8,599.0,512.0,1.0,3,498.0,308.0,,,Anthony Sinisuka GINTING,,8,-0.5042397605755804,0.7394403084190883,8,0.1535019735816724,-0.8342732503109737,0,1,61,3202,0.1666666666666666,0,True,0,0.0,1
3,00:14:12,25569.0,7,7,Rasmus GEMKE,2,平球,0,0,1.0,3,498.0,308.0,1.0,6,439.0,537.0,,,Anthony Sinisuka GINTING,,8,-0.5291899768094429,-1.293370408070158,8,-0.2619047440313104,0.8736130489005749,0,1,61,3202,0.3333333333333333,1,True,0,0.0,1
4,00:14:12,25582.0,7,7,Anthony Sinisuka GINTING,2,接殺防守,0,1,1.0,6,439.0,537.0,2.0,8,532.0,385.0,,,Anthony Sinisuka GINTING,,8,-0.3818341498517225,1.0200332453714849,8,-0.5376659284535004,-1.3072461011150254,0,1,61,3202,0.3333333333333333,0,True,0,0.0,1
5,00:14:13,25609.0,7,7,Rasmus GEMKE,2,網前球,0,0,2.0,8,532.0,385.0,2.0,2,481.0,475.0,,,Anthony Sinisuka GINTING,,8,-0.4639566338111566,-0.868525224707081,8,-0.3811441372436093,1.0359013620270503,0,1,61,3202,0.5,1,True,0,0.0,1
6,00:14:14,25634.0,7,7,Anthony Sinisuka GINTING,2,推撲球,0,1,2.0,2,481.0,475.0,1.0,3,500.0,308.0,,,Anthony Sinisuka GINTING,,7,-0.6647442422659813,0.6443191862054659,8,-0.3183373042874445,-0.7195532935852308,0,1,61,3202,0.6666666666666666,0,True,0,0.0,1
7,00:14:15,25672.0,7,7,Rasmus GEMKE,2,切球,0,0,1.0,3,500.0,308.0,1.0,7,747.0,456.0,,,Anthony Sinisuka GINTING,,9,-0.5936990408812088,-1.47729640306111,7,-0.4788168665317671,0.6436911126647166,0,1,61,3202,0.8333333333333334,1,True,0,0.0,1
8,00:14:16,25693.0,7,7,Anthony Sinisuka GINTING,3,推撲球,0,0,1.0,7,747.0,456.0,2.0,4,803.0,319.0,對手落地致勝,落地致勝,Anthony Sinisuka GINTING,,7,-0.2527542096821218,0.4992477817236338,9,-0.1405501707747288,-1.4516499606408608,0,1,61,3202,1.0,0,True,0,0.0,1
1,00:19:35,35278.0,10,10,Anthony Sinisuka GINTING,1,發短球,0,1,2.0,7,,,2.0,5,459.0,381.0,,,Anthony Sinisuka GINTING,,8,0.1215564800270378,0.9381743749487038,8,-0.4967138740647118,-0.932243037188537,0,1,61,3208,0.0,0,True,0,0.0,-1
2,00:19:37,35332.0,10,10,Rasmus GEMKE,2,網前球,0,0,2.0,5,459.0,381.0,2.0,2,466.0,469.0,,,Anthony Sinisuka GINTING,,8,-0.5153814767688562,-0.7061606426780189,7,-0.6235704579495169,0.527930659471402,0,1,61,3208,0.5,1,True,0,0.0,-1
3,00:19:37,35332.0,10,10,Anthony Sinisuka GINTING,2,網前球,0,1,2.0,2,466.0,469.0,2.0,1,462.0,413.0,,,Anthony Sinisuka GINTING,,7,-0.6108715778057375,0.6176241524357291,8,-0.4344799185936163,-0.6943964961232302,0,1,61,3208,0.5,0,True,0,0.0,-1
4,00:19:38,35360.0,10,10,Rasmus GEMKE,2,網前球,0,0,2.0,1,462.0,413.0,1.0,2,474.0,455.0,,,Anthony Sinisuka GINTING,,1,-0.8872782147511832,-0.4658903099951391,7,-0.4726172133090514,0.6436701698738249,0,1,61,3208,0.75,1,True,0,0.0,-1
5,00:19:39,35383.0,10,10,Anthony Sinisuka GINTING,3,推撲球,0,1,1.0,2,474.0,455.0,2.0,8,660.0,356.0,對手落地致勝,落地致勝,Anthony Sinisuka GINTING,,7,-0.4863359506551509,0.2644040915118489,8,-0.4537433252903264,-0.6336512975610494,0,1,61,3208,1.0,0,True,0,0.0,-1
1,00:20:52,37580.0,11,10,Anthony Sinisuka GINTING,1,發短球,0,1,2.0,7,,,2.0,2,784.0,391.0,,,Anthony Sinisuka GINTING,,8,-0.0633599550477143,0.8812972433162377,8,0.6983582060085541,-0.8628100079547295,0,1,61,3209,0.0,0,True,0,-1.0,-2
2,00:20:53,37603.0,11,10,Rasmus GEMKE,2,網前球,0,1,2.0,2,784.0,391.0,2.0,2,487.0,485.0,,,Anthony Sinisuka GINTING,,8,0.5081470360400816,-0.5791266034489851,8,-0.021437429597158,0.905888505129404,0,1,61,3209,0.1428571428571428,1,True,0,-1.0,-2
3,00:20:54,37625.0,11,10,Anthony Sinisuka GINTING,2,網前球,0,1,2.0,2,487.0,485.0,2.0,1,480.0,413.0,,,Anthony Sinisuka GINTING,,8,-0.2732087277357937,0.6780803224556227,8,0.2024548034298624,-0.7348567776453508,0,1,61,3209,0.2857142857142857,0,True,0,-1.0,-2
4,00:20:55,37654.0,11,10,Rasmus GEMKE,2,挑球,0,0,2.0,1,480.0,413.0,1.0,4,449.0,651.0,,,Anthony Sinisuka GINTING,,7,-0.5931040976095514,-0.4213251031642784,7,-0.4200827012557029,0.5723509622279958,0,1,61,3209,0.4285714285714285,1,True,0,-1.0,-2
5,00:20:56,37704.0,11,10,Anthony Sinisuka GINTING,2,長球,1,0,1.0,4,449.0,651.0,1.0,3,490.0,312.0,,,Anthony Sinisuka GINTING,,4,-0.9243423618883876,1.6452788363893447,8,-0.0913470279446472,-0.7702732715211349,0,1,61,3209,0.5714285714285714,0,True,0,-1.0,-2
6,00:20:57,37733.0,11,10,Rasmus GEMKE,2,切球,0,0,1.0,3,490.0,312.0,2.0,1,794.0,503.0,,,Anthony Sinisuka GINTING,,8,-0.7181804433755069,-1.2093741494360255,8,-0.4192854990789129,1.213572477210488,0,1,61,3209,0.7142857142857143,1,True,0,-1.0,-2
7,00:20:58,37759.0,11,10,Anthony Sinisuka GINTING,2,接殺防守,0,0,2.0,1,794.0,503.0,2.0,8,643.0,372.0,,,Anthony Sinisuka GINTING,,8,0.5377826943170548,0.8877816737001906,8,-0.1612062282434707,-1.1316866483218753,0,1,61,3209,0.8571428571428571,0,True,0,-1.0,-2
8,00:20:59,37782.0,11,10,Rasmus GEMKE,3,推撲球,0,0,2.0,8,643.0,372.0,2.0,10,766.0,660.0,出界,對手出界,Anthony Sinisuka GINTING,,8,0.2961905042973999,-0.8730945209480202,8,0.3826340055901753,0.6671545948144478,0,1,61,3209,1.0,1,True,0,-1.0,-2
1,00:21:36,38902.0,12,11,Rasmus GEMKE,1,發短球,0,1,2.0,7,,,2.0,8,607.0,509.0,,,Anthony Sinisuka GINTING,,8,0.1888341956977384,-0.7719084662011667,8,-0.6313972252064899,0.9158617733465894,0,1,61,3211,0.0,1,True,0,-1.0,-3
2,00:21:37,38928.0,12,11,Anthony Sinisuka GINTING,2,網前球,0,0,2.0,8,607.0,509.0,2.0,2,803.0,409.0,,,Anthony Sinisuka GINTING,,8,-0.4788150369692405,0.7564926832435385,8,0.1190060755378241,-0.9618595911059076,0,1,61,3211,0.0833333333333333,0,True,0,-1.0,-3
3,00:21:38,38958.0,12,11,Rasmus GEMKE,2,挑球,0,1,2.0,2,803.0,409.0,1.0,9,564.0,643.0,,,Anthony Sinisuka GINTING,,7,0.5869236767421313,-0.3817677773816881,8,-0.0265991105346881,0.7635981039237448,0,1,61,3211,0.1666666666666666,1,True,0,-1.0,-3
4,00:21:40,39002.0,12,11,Anthony Sinisuka GINTING,2,切球,1,0,1.0,9,564.0,643.0,2.0,6,818.0,373.0,,,Anthony Sinisuka GINTING,,9,-0.397056594380257,1.657644805675088,8,0.0811366732139035,-0.9486851770977308,0,1,61,3211,0.3333333333333333,0,True,0,-1.0,-3
5,00:21:41,39054.0,12,11,Rasmus GEMKE,2,網前球,0,1,2.0,6,818.0,373.0,2.0,1,837.0,484.0,,,Anthony Sinisuka GINTING,,6,0.951673781091602,-0.6657380435560659,7,0.9054510055433812,0.5042041314821576,0,1,61,3211,0.4166666666666667,1,True,0,-1.0,-3
6,00:21:41,39058.0,12,11,Anthony Sinisuka GINTING,2,推撲球,0,0,2.0,1,837.0,484.0,1.0,9,528.0,313.0,,,Anthony Sinisuka GINTING,,7,0.8031863607505113,0.6216622709499339,8,0.5539871886983163,-0.8240614158106533,0,1,61,3211,0.4166666666666667,0,True,0,-1.0,-3
