ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,set,match_id,rally_id,time_proportion,is_target_turn,is_target_game,is_target_win,roundscore_diff,continuous_score,ball_round1,ball_round2,ball_round3,ball_round4,ball_round5,ball_round6,ball_round7,ball_round8,ball_round9,ball_round10,ball_round11,ball_round12,ball_round13,ball_round14,ball_round15,ball_round16,ball_round17,ball_round18,ball_round19,ball_round20,ball_round21,ball_round22,ball_round23,ball_round24,ball_round25,ball_round26,ball_round27,ball_round28,ball_round29,ball_round30,ball_round31,ball_round32,ball_round33,ball_round34,ball_round35,ball_round36,ball_round37,ball_round38,ball_round39,ball_round40,ball_round41,ball_round42,ball_round43,ball_round44,ball_round45,ball_round46,ball_round47,ball_round48,ball_round49,ball_round50,ball_round51,ball_round52,ball_round53,ball_round54,ball_round55,ball_round56,ball_round57,ball_round58,ball_round59,ball_round60,ball_round61,win_prob,rally
1,00:00:11,352.0,0,0,CHOU Tien Chen,1,發短球,0,0,2.0,8,,,,7,521.0,442.0,,,CHOU Tien Chen,,9,0.1418502411610587,0.8058873600966633,9,-0.4444290644364274,-0.8148795394128872,0,1,35,975,0.0,0,True,0,0.0,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7765373587608337,1
2,00:00:12,375.0,0,0,Viktor AXELSEN,3,網前球,0,1,2.0,8,521.0,442.0,,10,908.0,533.0,出界,對手出界,CHOU Tien Chen,,9,-0.6409350783959865,-0.6958813382848573,9,0.0977635954872951,0.8704502898100225,0,1,35,975,1.0,1,True,0,0.0,0,0.2779667377471924,0.7220332026481628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0994576141238212,1
1,00:00:22,681.0,1,0,Viktor AXELSEN,1,網前球,0,1,2.0,8,,,,2,412.0,485.0,,,CHOU Tien Chen,,9,0.0053967838429795,-0.7586851074275532,9,0.0422235513833785,0.9158937702017664,0,1,35,976,0.0,1,True,0,-1.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2168345302343368,2
2,00:00:23,707.0,1,0,CHOU Tien Chen,2,網前球,0,1,2.0,3,412.0,485.0,,1,405.0,444.0,,,CHOU Tien Chen,,8,-0.6853867528758193,0.6000583353851052,9,-0.2459200957965475,-0.8462324990177562,0,1,35,976,0.2,0,True,0,-1.0,-1,0.1233353689312934,0.8766646981239319,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9456427097320556,2
3,00:00:24,734.0,1,0,Viktor AXELSEN,2,挑球,0,0,2.0,2,405.0,444.0,,4,355.0,645.0,,,CHOU Tien Chen,,2,-1.112875183779244,-0.4542696665786432,9,-0.2278051588911105,0.872589572774722,0,1,35,976,0.4,1,True,0,-1.0,-1,0.1333649307489395,0.3075626790523529,0.5590723752975464,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1997592151165008,2
4,00:00:25,771.0,1,0,CHOU Tien Chen,2,平球,0,1,1.0,5,355.0,645.0,,5,489.0,401.0,,,CHOU Tien Chen,,10,-0.7627755248902938,1.545612776991191,9,-0.5140834482543549,-1.0136023751397698,0,1,35,976,0.6,0,True,0,-1.0,-1,0.013653615489602,0.0314876101911067,0.0504799745976924,0.9043787717819214,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9346706867218018,2
5,00:00:26,788.0,1,0,Viktor AXELSEN,2,接殺防守,0,0,2.0,6,489.0,401.0,,2,403.0,494.0,,,CHOU Tien Chen,,9,-0.6068960408312811,-1.060408096652427,9,-0.2847138292388536,1.2396218140629618,0,1,35,976,0.8,1,True,0,-1.0,-1,0.0400516986846923,0.0923661813139915,0.1480786353349685,0.4026862680912018,0.3168172240257263,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1869445592164993,2
6,00:00:27,812.0,1,0,CHOU Tien Chen,3,網前球,0,1,2.0,3,403.0,494.0,2.0,2,821.0,450.0,對手落地致勝,落地致勝,CHOU Tien Chen,,9,-0.7911748958348689,0.9034162788764858,9,-0.4375453667650656,-0.9209203499623602,0,1,35,976,1.0,0,True,0,-1.0,-1,0.0068240645341575,0.0157374814152717,0.0252298451960086,0.0686102584004402,0.0469847023487091,0.8366135954856873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9150803685188292,2
1,00:00:47,1414.0,2,0,CHOU Tien Chen,1,發短球,0,1,2.0,8,,,,7,543.0,447.0,,,Viktor AXELSEN,,9,0.1549747989180207,0.7590394529171581,9,-0.5949140646334007,-1.0764339520120971,0,1,35,977,0.0,0,True,1,-2.0,-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.911246418952942,3
2,00:00:47,1433.0,2,0,Viktor AXELSEN,2,殺球,0,0,2.0,8,543.0,447.0,,3,815.0,649.0,,,Viktor AXELSEN,,8,-0.2100076264103242,-0.5151504720311534,9,0.2128636562934575,0.8878078204883261,0,1,35,977,0.0,1,True,1,-2.0,-2,0.7948626279830933,0.2051374316215515,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8971429467201233,3
3,00:00:48,1468.0,2,0,CHOU Tien Chen,2,平球,0,0,1.0,4,815.0,649.0,,6,804.0,396.0,,,Viktor AXELSEN,,10,0.734165647653012,1.5996714526710256,9,-0.0155200163848097,-0.939210830829305,0,1,35,977,0.2,0,True,1,-2.0,-2,0.2715926766395569,0.0636389553546905,0.664768397808075,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8784936666488647,3
4,00:00:50,1504.0,2,0,Viktor AXELSEN,2,接殺防守,0,1,2.0,7,804.0,396.0,,1,799.0,490.0,,,Viktor AXELSEN,,9,0.0355533390686833,-1.0173985867293285,9,0.6360350987506214,1.3817293266761923,0,1,35,977,0.6,1,True,1,-2.0,-2,0.4299469888210296,0.1007441729307174,0.1788192391395568,0.2904895544052124,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6367295384407043,3
5,00:00:50,1506.0,2,0,CHOU Tien Chen,2,網前球,0,0,2.0,2,799.0,490.0,,7,669.0,446.0,,,Viktor AXELSEN,,9,0.7854582924113636,0.7454438789148418,9,0.3319051127377189,-0.7025456844519008,0,1,35,977,0.6,0,True,1,-2.0,-2,0.1126297563314437,0.0263911411166191,0.046843834221363,0.0703220143914222,0.7438132166862488,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9178050756454468,3
