,rally,ball_round,player,type,player_location,ball_location,scores,getpoint_player,tactic
0,3,1,Kento MOMOTA,Serve short,14,10,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
1,3,2,CHOU Tien Chen,Net Shot,10,19,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
2,3,3,Kento MOMOTA,Lob,15,1,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
3,3,4,CHOU Tien Chen,Smash,14,10,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
4,3,5,Kento MOMOTA,Smash Defence,11,19,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
5,3,6,CHOU Tien Chen,Lob,2,7,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
6,3,7,Kento MOMOTA,Smash,10,10,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
7,3,8,CHOU Tien Chen,Smash Defence,10,23,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
8,3,9,Kento MOMOTA,Net Shot,7,20,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
9,3,10,CHOU Tien Chen,Net Shot,10,21,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
10,3,11,Kento MOMOTA,Lob,10,1,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
11,3,12,CHOU Tien Chen,Smash,15,10,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
12,3,13,Kento MOMOTA,Smash Defence,7,15,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
13,3,14,CHOU Tien Chen,Lob,6,7,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
14,3,15,Kento MOMOTA,Drop,10,14,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
15,3,16,CHOU Tien Chen,Drive,10,10,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
16,3,17,Kento MOMOTA,Smash Defence,11,2,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
17,3,18,CHOU Tien Chen,Clear,11,4,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
18,3,19,Kento MOMOTA,Clear,11,2,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
19,3,20,CHOU Tien Chen,Smash,10,10,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
20,3,21,Kento MOMOTA,Smash Defence,11,20,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
21,3,22,CHOU Tien Chen,Lob,2,4,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
22,3,23,Kento MOMOTA,Clear,10,1,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
23,3,24,CHOU Tien Chen,Smash,10,11,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
24,3,25,Kento MOMOTA,Smash Defence,7,13,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
25,3,26,CHOU Tien Chen,Push Shot,1,2,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
26,3,27,Kento MOMOTA,Drop,11,21,"[2.0, 0.0]",CHOU Tien Chen,FC/FhL/No/No
27,5,1,Kento MOMOTA,Serve short,15,15,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
28,5,2,CHOU Tien Chen,Push Shot,15,3,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
29,5,3,Kento MOMOTA,Smash,10,10,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
30,5,4,CHOU Tien Chen,Smash Defence,10,6,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
