,rally,ball_round,player,type,player_location,ball_location,scores,getpoint_player,tactic
0,3,1,Kento MOMOTA,Serve short,14,10,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
1,3,2,CHOU Tien Chen,Net Shot,10,19,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
2,3,3,Kento MOMOTA,Lob,15,1,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
3,3,4,CHOU Tien Chen,Smash,14,10,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
4,3,5,Kento MOMOTA,Smash Defence,11,19,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
5,3,6,CHOU Tien Chen,Lob,2,7,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
6,3,7,Kento MOMOTA,Smash,10,10,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
7,3,8,CHOU Tien Chen,Smash Defence,10,23,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
8,3,9,Kento MOMOTA,Net Shot,7,20,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
9,3,10,CHOU Tien Chen,Net Shot,10,21,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
10,3,11,Kento MOMOTA,Lob,10,1,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
11,3,12,CHOU Tien Chen,Smash,15,10,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
12,3,13,Kento MOMOTA,Smash Defence,7,15,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
13,3,14,CHOU Tien Chen,Lob,6,7,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
14,3,15,Kento MOMOTA,Drop,10,14,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
15,3,16,CHOU Tien Chen,Drive,10,10,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
16,3,17,Kento MOMOTA,Smash Defence,11,2,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
17,3,18,CHOU Tien Chen,Clear,11,4,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
18,3,19,Kento MOMOTA,Clear,11,2,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
19,3,20,CHOU Tien Chen,Smash,10,10,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
20,3,21,Kento MOMOTA,Smash Defence,11,20,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
21,3,22,CHOU Tien Chen,Lob,2,4,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
22,3,23,Kento MOMOTA,Clear,10,1,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
23,3,24,CHOU Tien Chen,Smash,10,11,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
24,3,25,Kento MOMOTA,Smash Defence,7,13,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
25,3,26,CHOU Tien Chen,Push Shot,1,2,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
26,3,27,Kento MOMOTA,Drop,11,21,"[2.0, 0.0]",CHOU Tien Chen,FC/BhL/BcL/FCCD
27,5,1,Kento MOMOTA,Serve short,15,15,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
28,5,2,CHOU Tien Chen,Push Shot,15,3,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
29,5,3,Kento MOMOTA,Smash,10,10,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
30,5,4,CHOU Tien Chen,Smash Defence,10,6,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
31,5,5,Kento MOMOTA,Smash,7,11,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
32,5,6,CHOU Tien Chen,Smash Defence,10,7,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
33,5,7,Kento MOMOTA,Clear,10,1,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
34,5,8,CHOU Tien Chen,Smash,10,11,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
35,5,9,Kento MOMOTA,Smash Defence,11,14,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
36,5,10,CHOU Tien Chen,Lob,5,3,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
37,5,11,Kento MOMOTA,Clear,11,3,"[3.0, 1.0]",CHOU Tien Chen,FC/FhL/BcL/No
